Table S7. The PRI result of 1913 true external FCOCs using the optimal Mouse-QSTR model,,,,,,,,,,
CID,Score(MAE-LOO),Score(Proximity Train YObs Mean),Score(Similarity based AD),CompositeScore,PredictionQuality,YPred(Test),AD status,Closest Training Compound,Euclidean Distance,Generalized Jaccard Coeff.
284737,2,3,3,3,Good,2.405221921,In,30580,0.02736557,0.940539965
285065,2,3,3,3,Good,2.747719037,In,4115,0.088581041,0.830235507
285066,2,3,3,3,Good,3.216250083,In,8344,0.418028838,0.520050716
286187,3,3,3,3,Good,2.284719397,In,8554,0.275817459,0.588645707
291874,2,3,3,3,Good,1.401623979,In,8554,0.009057169,0.985480661
301221,2,3,3,3,Good,2.840382204,In,12442,0.205977675,0.717774353
301232,2,3,3,3,Good,1.425465709,In,8554,5.41E-04,0.999119162
301402,2,3,3,3,Good,1.980968206,In,2347,0.090113413,0.819366153
301403,2,3,3,3,Good,1.84428195,In,8554,0.118761797,0.762081191
301404,2,3,3,3,Good,1.332116371,In,6785,0.237817837,0.679420765
301405,2,3,3,3,Good,1.809243236,In,24072,0.197538997,0.857476455
301406,2,3,3,3,Good,1.357821178,In,24072,0.156636716,0.836360471
302440,2,3,3,3,Good,1.498317364,In,8343,0.088089984,0.873874861
305636,2,3,3,3,Good,2.484986782,In,30580,0.100954956,0.781512711
316221,2,3,3,3,Good,1.205863984,In,8554,0.087869963,0.87493835
336110,2,3,3,3,Good,1.108715497,In,24072,0.239627255,0.779278366
337880,2,3,3,3,Good,1.426389728,In,8554,0.153169562,0.740660963
347511,2,3,2,3,Good,1.071179437,In,24072,0.336451243,0.634366446
347519,2,3,3,3,Good,2.16084161,In,202896,0.065390757,0.888903341
347522,2,3,3,3,Good,1.494332104,In,8554,0.171662393,0.716911885
350238,2,3,3,3,Good,1.433125257,In,2391,0.188648753,0.753500949
350574,2,3,3,3,Good,3.271089913,In,20327,0.170345833,0.71690466
359019,2,3,3,3,Good,2.471064535,In,6626,0.096676283,0.747379635
363360,3,3,3,3,Good,3.230848217,In,3079007,0.245013988,0.682112331
378586,2,3,3,3,Good,2.586607854,In,202896,0.106762536,0.841050596
