Table S5. Detailed RASTR descriptors of all compounds in Mouse and Rat q-RASTR models,,,,,,,,,,,,,,,,,,,,,
Mouse RASTR descriptors,,,,,,,,,,,,,,,,,,,,,
No.,CID,Status,pLD50,RA function(GK),SD Activity(GK),SE(GK),CVact(GK),CVsim(GK),MaxPos(GK),MaxNeg(GK),Abs MaxPos-MaxNeg,Avg.Sim(GK),SD similarity(GK),gm(GK)[Banerjee-Roy Coefficient],gm*Avg.Sim,gm*SD Similarity,Pos.Avg.Sim,Neg.Avg.Sim,sm1(GK)[Banerjee-Roy similarity coefficient 1],sm2(GK)[Banerjee-Roy similarity coefficient 2],gm_class(GK)
36,33599,Train,0.84,1.07143169673981,0.287816235311501,0.16648710648671997,0.2686277027152345,0.07560613176790859,0,0.9770382373071056,0.9770382373071056,0.9174331948395545,0.06936357501729272,-1,-0.9174331948395545,-0.06936357501729272,0,0.9174331948395545,-1,-1,0
37,33934,Test,1.25,1.0386045388817198,0.16972025748786917,0.0980632476207278,0.16341181954645545,0.047995319888889845,0,0.6982107898010073,0.6982107898010073,0.6688055597734751,0.032099536784795976,-1,-0.6688055597734751,-0.032099536784795976,0,0.6688055597734751,-1,-1,0
38,34277,Train,1.02,0.9832498674866609,0.20114921199047364,0.11739998723700656,0.20457588517620878,0.18136525784831375,0,0.2886126386358343,0.2886126386358343,0.24503334327810192,0.04444053548506733,-1,-0.24503334327810192,-0.04444053548506733,0,0.24503334327810192,-1,-1,0
39,40399,Train,2.29,1.7888947112670803,0.6235107293061061,0.40127529618540864,0.3485452359934986,0.6031946120381668,0.16644027111305768,0.28039122024572355,0.11395094913266587,0.1729579170342803,0.10432728366442214,-0.33333333333333337,-0.05765263901142677,-0.03477576122147405,0.16644027111305768,0.17621673999489157,-0.40639984744459495,-0.05652513079176477,0
40,62629,Train,2.35,1.9029726791192434,0.49744842158897495,0.2916618071953613,0.261405971324407,0.2166733015040719,0.40637915505093297,0.6216247263975084,0.21524557134657546,0.5407395345327578,0.11716382020098774,-0.33333333333333337,-0.18024651151091928,-0.03905460673366259,0.40637915505093297,0.6079197242736701,-0.3462628853166517,-0.3727128429714027,0
41,65913,Train,3,2.247597793704915,0.4183114385885486,0.24361942006234666,0.18611489998795946,0.16213957487642963,0.12381128221922866,0.09133491245473101,0.03247636976449765,0.11233685898634627,0.01821425055899961,0.33333333333333326,0.03744561966211541,0.006071416852999868,0.12283783225215389,0.09133491245473101,0.26230541500242915,0.2804326209730667,1
42,66540,Test,0.72,0.9645303472583762,0.2873419315319748,0.16660424226431544,0.2979086478188356,0.11321550438829626,0,0.8373461933716847,0.8373461933716847,0.7412341729740163,0.08391920076309489,-1,-0.7412341729740163,-0.08391920076309489,0,0.7412341729740163,-1,-1,0
43,67846,Train,2.47,2.091163439946665,0.5568880835957541,0.32265868968061523,0.2663053843414351,0.10319109496968594,0.18741434377190425,0.15281767951288833,0.03459666425901592,0.16889076479928344,0.01742802294990575,0.33333333333333326,0.056296921599761136,0.005809340983301915,0.17692730744248097,0.15281767951288833,0.18459987406898998,0.1427527902916746,1
44,69046,Train,1.51,2.5478535198894807,0.8782479446298206,0.5074771658358022,0.34470111322095026,0.04988779733866476,0.07563798451540452,0.0813335805437621,0.005695596028357577,0.07699748031548173,0.0038412346935665816,-0.33333333333333326,-0.025665826771827237,-0.0012804115645221935,0.07482943020134156,0.0813335805437621,-0.07002760717380471,-0.08447224916674007,0
45,70897,Test,2.4,2.4609397973651466,0.192013795040977,0.1124700729951116,0.07802458038451827,0.20954395023610847,0.35219991532735995,0,0.35219991532735995,0.2950967752603422,0.061835743989989235,1,0.2950967752603422,0.061835743989989235,0.2950967752603422,0,1,1,1
46,73864,Train,2,1.7690381830387638,0.684967825762502,0.4065753931691976,0.38719787528039623,0.29232955959019674,0.07177134956044577,0.04838818693551175,0.02338316262493402,0.05396490862318323,0.015775537971140365,0.33333333333333337,0.017988302874394412,0.005258512657046789,0.07177134956044577,0.04506168815455196,0.32580079332687956,0.494944994577817,1
47,75903,Train,2.14,2.2165053490726696,0.44671685874098077,0.2599086890074697,0.20154106956154016,0.15268913677103324,0.5883605023332374,0.43199863635586017,0.15636186597737728,0.5152604337075154,0.07867467083506872,0.33333333333333326,0.1717534779025051,0.026224890278356235,0.556891332383343,0.43199863635586017,0.2657586043884648,0.24238751485113533,1
48,83119,Train,3.12,3.116321213921407,0.39442493337368595,0.2877619549662479,0.12656748335559523,0.946175623928928,0.411101070176845,0,0.411101070176845,0.19677688748853858,0.18618549429426046,1,0.19677688748853858,0.18618549429426046,0.19677688748853858,0,1,1,1
49,85537,Train,1.67,1.8612832406185864,0.47718076305425394,0.2776948105431936,0.256371922682582,0.15488784455176233,0.6216247263975084,0.5683704483735533,0.053254278023955104,0.5484265597299293,0.08494460773150708,0.33333333333333337,0.18280885324330978,0.028314869243835698,0.6216247263975084,0.5118274763961397,0.0856694976285431,0.20020410764832036,1
