Table S8. The PRI result of 1909 true external FCOCs using the optimal Rat-QSTR model,,,,,,,,,,
CID,Score(MAE-LOO),Score(Proximity Train YObs Mean),Score(Similarity based AD),CompositeScore,PredictionQuality,YPred(Test),AD status,Closest Training Compound,Euclidean Distance,Generalized Jaccard Coeff.
525161,2,3,3,3,Good,1.438625335,In,68,0.049053054,0.931336758
525186,2,3,3,3,Good,1.528561224,In,68,0.108057336,0.864939765
525196,3,3,3,3,Good,1.15876225,In,23,0.207406729,0.810614185
525216,3,3,3,3,Good,0.990395879,In,16,0.007425649,0.992023935
525243,2,3,3,3,Good,1.550228882,In,14,0.141376522,0.762207132
526381,2,3,3,3,Good,2.481246837,In,61,0.181705155,0.788698328
540855,2,3,3,3,Good,1.090234931,In,22,0.017448688,0.981839284
546283,2,3,3,3,Good,0.921935959,In,69,0.158167491,0.801339763
576148,2,3,3,3,Good,1.288402218,In,17,0.089551069,0.878524084
587601,2,3,3,3,Good,1.943681589,In,37,0.181279637,0.762086012
590809,2,3,3,3,Good,1.535058485,In,68,0.117837526,0.847854591
590836,2,3,3,3,Good,1.424830538,In,17,0.099058402,0.876924558
590929,2,3,3,3,Good,1.837577372,In,13,0.16205754,0.558931908
591037,3,3,1,3,Good,3.242970174,Outside AD,54,0.801350289,-0.023603378
591066,2,3,3,3,Good,1.657414803,In,8,0.245169644,0.638930806
591200,2,3,3,3,Good,1.391029578,In,68,0.107481238,0.849484104
595898,2,3,3,3,Good,1.859822304,In,13,0.084755083,0.731272283
595985,2,3,3,3,Good,1.860656399,In,8,0.131230364,0.744297955
596027,2,3,1,3,Good,2.579313807,Outside AD,44,0.468078209,-0.503014789
597395,2,3,3,3,Good,1.98251049,In,8,0.257420805,0.520375925
600994,2,3,2,3,Good,2.553108364,In,44,0.375001868,-0.477571762
605331,2,3,3,3,Good,1.395460107,In,68,0.06191363,0.912169413
610016,2,3,3,3,Good,1.627350545,In,13,0.194187923,0.465539533
610230,2,3,3,3,Good,1.552284318,In,14,0.165632957,0.759562906
613589,2,3,3,3,Good,1.565199707,In,14,0.183296008,0.726190546
616040,2,3,3,3,Good,1.643363566,In,13,0.196590968,0.464591427
616307,2,3,3,3,Good,1.613120906,In,13,0.204478645,0.452680638
616676,2,3,3,3,Good,1.518432782,In,17,0.150797715,0.775297677
619528,2,3,3,3,Good,2.11996995,In,44,0.131482574,0.014541344
622313,2,3,3,3,Good,1.383939915,In,14,0.039998278,0.932055505
627405,2,3,3,3,Good,1.317924242,In,14,0.042872187,0.922507177
627581,2,3,3,3,Good,2.296243382,In,8,0.278121182,0.582445383
628796,2,3,3,3,Good,1.872894786,In,8,0.110838556,0.737320099
628998,2,3,3,3,Good,1.361857687,In,68,0.080505417,0.903413099
629108,2,3,3,3,Good,2.43746356,In,8,0.197772688,0.587891891
630009,2,3,3,3,Good,2.355946702,In,13,0.162191318,0.253714138
632386,2,3,1,3,Good,2.613921824,Outside AD,44,0.643922694,-0.827837831
633563,2,3,3,3,Good,2.291838989,In,44,0.115543267,-0.53129511
635619,2,3,3,3,Good,2.0277274,In,10,0.195996079,0.789704775
635788,2,3,3,3,Good,1.687609045,In,8,0.116003694,0.744114198
643292,2,3,3,3,Good,2.806420705,In,34,0.157620492,0.894903481
688113,2,3,3,3,Good,1.104202822,In,69,0.091541875,0.894170428
745895,2,3,3,3,Good,1.926144976,In,8,0.203861859,0.676267173
785004,2,3,2,3,Good,2.294877487,In,91,0.338370447,0.68262304
825803,2,3,1,3,Good,2.090196687,Outside AD,91,0.376675702,0.597972789
825852,3,3,1,3,Good,2.443411844,Outside AD,91,0.250358031,0.738842429
833466,2,3,1,3,Good,2.241694499,Outside AD,91,0.307452622,0.667313615
839326,2,3,1,3,Good,2.488661274,Outside AD,91,0.158229209,0.849038841
988722,2,3,1,3,Good,2.297807944,Outside AD,91,0.255623707,0.740507894
998505,2,3,3,3,Good,2.997319395,In,80,0.225603345,0.807725565
1007245,2,3,3,3,Good,2.069844449,In,3,0.177396987,0.805046507
1023789,2,3,3,3,Good,2.257224401,In,6,0.090030178,0.854171431
1023792,2,3,3,3,Good,2.661874119,In,19,0.163636167,0.797765404
1023804,3,3,3,3,Good,2.474820334,In,46,0.182446949,0.761728749
1023805,3,3,3,3,Good,2.361454373,In,79,0.152151483,0.802725143
1023811,2,3,3,3,Good,2.302947588,In,1,0.169176909,0.845499215
1023814,2,3,3,3,Good,3.383629346,In,1,0.331877941,0.688541198
1026576,3,3,3,3,Good,1.972666831,In,46,0.063545312,0.913065583
