"Table S2.Detailed statistic information of the training, test and true external sets in the Rat-QSTR models  ",,,,,,,,,,,,,
Rat-QSTR Model,Compound Information,,,,Rat-QSTR Model-Descriptor Value,,,,,Predicted Activity by  Rat-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATSC7i,CATS2D_08_DL,ChiA_X,F06[C-N],P_VSA_charge_10,Predicted endpoint,Residual,HAT i/i (h*=0.3529),
,994,10292860,True external,-,-0.0752226698680769,0,0.996216229536885,4,5.24342809458423,2.1996,-,0.1096,Good
,995,10292861,True external,-,-0.0752226698680769,0,0.996216229536885,4,5.24342809458423,2.1996,-,0.1096,Good
,996,10295818,True external,-,-0.00710705010375182,2,0.997716844510448,8,10.4868561891685,2.5842,-,0.2539,Good
,997,10295819,True external,-,0.256617799707306,2,0.997060440621492,8,10.4868561891685,2.6073,-,0.3017,Good
,998,10296275,True external,-,-0.114228936332598,8,0.998190983127026,2,9.83581297762843,2.6627,-,0.3012,Good
,999,10297198,True external,-,-0.0891894783341394,1,0.997267876719661,0,15.0792410722127,2.3615,-,0.0421,Good
,1000,10297273,True external,-,-0.0413913876798483,0,0.9969347638904,0,0,1.3132,-,0.0403,Good
,1001,10297665,True external,-,-0.340178570370351,0,0.997606559448184,4,10.4868561891685,2.3121,-,0.1415,Good
,1002,10297902,True external,-,0.239066173492346,0,0.996442534104751,4,20.9737123783369,2.9818,-,0.1634,Good
,1003,10298511,True external,-,-0.192293796864532,6,0.995947249694706,0,13.6724311399085,3.261,-,0.1745,Good
,1004,10299043,True external,-,0.0355162773922375,0,0.99695560714475,8,10.4868561891685,2.5647,-,0.2858,Good
,1005,10299062,True external,-,-0.333226468325827,4,0.995544336584553,0,20.9737123783369,3.7422,-,0.199,Good
,1006,10299304,True external,-,-0.202234250493225,0,0.995878508903136,2,5.24342809458423,2.2289,-,0.0899,Good
,1007,10299369,True external,-,-0.193285259544088,2,0.998295053380436,4,15.0792410722127,2.5379,-,0.1154,Good
,1008,10299615,True external,-,-0.222006154358183,0,0.996761416062913,4,10.4868561891685,2.4843,-,0.1077,Good
,1009,10299790,True external,-,0.497611431454798,0,0.996991951394063,2,28.7288923196194,3.0205,-,0.2884,Good
,1010,10300855,True external,-,-0.151052405710865,2,0.998380290477444,4,15.0792410722127,2.4857,-,0.1131,Good
,1011,10303105,True external,-,-0.113061342704816,2,0.997044341068218,4,0,1.8461,-,0.0898,Good
,1012,10303642,True external,-,-0.17616820427477,0,0.996039663757317,0,10.4868561891685,2.3635,-,0.0684,Good
,1013,10303681,True external,-,-0.13681964344055,0,0.995792686023191,0,0,1.7101,-,0.08,Good
,1014,10303709,True external,-,-0.0227403338292323,2,0.995657821529643,2,15.6203335214508,3.0872,-,0.0815,Good
,1015,10305411,True external,-,-0.197520538815017,0,0.997118349469023,5,33.3780169708091,3.969,-,0.2619,Good
,1016,10308660,True external,-,-0.0787023596547316,0,0.994767608087171,0,5.24342809458423,2.3241,-,0.145,Good
,1017,10308857,True external,-,-0.101289014694562,0,0.994361625585276,0,0,2.1075,-,0.1973,Good
,1018,10309690,True external,-,-0.0491172092484501,1,0.996930647462147,0,10.4868561891685,2.1279,-,0.0261,Good
,1019,10311016,True external,-,-0.130452989052126,8,0.995362145709265,14,2.32792015631004,3.912,-,0.9498,Good
,1020,10311460,True external,-,-0.116348085355183,8,0.995718380977022,6,0,3.0363,-,0.3382,Good
,1021,10311938,True external,-,-0.0638353308072998,6,0.995718380977022,6,0,2.7868,-,0.2549,Good
,1022,10314051,True external,-,0.00191531635061389,0,0.996144057913341,0,10.4868561891685,2.2182,-,0.0527,Good
,1023,10314415,True external,-,-0.218253319067412,2,0.99596075275932,0,13.6724311399085,2.8424,-,0.078,Good
,1024,10316940,True external,-,-0.168606990286393,0,0.996740130792061,0,28.7856320877649,3.3756,-,0.1651,Good
,1025,10317484,True external,-,0.0385572153227299,0,0.997506035215053,0,51.6767928694055,4.5468,-,0.5199,Good
,1026,10317864,True external,-,-0.147228223376799,0,0.996571474454847,5,10.4868561891685,2.5677,-,0.1352,Good
,1027,10319685,True external,-,-0.136356910017282,6,0.997085158565884,2,9.83581297762843,2.7861,-,0.1348,Good
,1028,10319806,True external,-,-0.136577840213352,3,0.99628029160989,2,28.7516722121212,3.9629,-,0.1616,Good
,1029,10320419,True external,-,-0.106383904207518,2,0.997203718939689,0,15.7302842837527,2.5428,-,0.0511,Good
,1030,10321076,True external,-,-0.226722804904779,0,0.996849104655942,2,0,1.6093,-,0.0766,Good
,1031,10321081,True external,-,0.0938703751529897,0,0.995297206896889,5,0,2.0861,-,0.2378,Good
,1032,10322905,True external,-,-0.116874439163944,3,0.997101197397438,4,21.8157629413319,3.3973,-,0.1107,Good
,1033,10324137,True external,-,-0.124370366747934,4,0.994661196815764,0,0,2.4658,-,0.1633,Good
,1034,10324271,True external,-,-0.115659615117787,0,0.997363011412961,2,15.0792410722127,2.3944,-,0.0519,Good
,1035,10327530,True external,-,0.142981354323286,0,0.997415967753577,4,39.3432519105137,3.9851,-,0.2979,Good
,1036,10334090,True external,-,-0.245917923772113,0,0.996682958062092,0,10.4868561891685,2.2195,-,0.0625,Good
,1037,10335783,True external,-,-0.219849462144642,10,0.99789386533137,0,0,2.2249,-,0.4854,Good
,1038,10337543,True external,-,-0.000485094449606999,0,0.995476762970968,0,10.4868561891685,2.4158,-,0.09,Good
,1039,10338440,True external,-,0.00452827360731149,0,0.993635731313294,0,0,2.2526,-,0.2921,Good
,1040,10341055,True external,-,-0.15264377516174,7,0.997576928637207,0,5.24342809458423,2.3015,-,0.2222,Moderate
,1041,10342085,True external,-,0.0527614244866199,2,0.997196398319116,8,23.5422039931806,3.5709,-,0.2753,Moderate
,1042,10342442,True external,-,-0.652336415067927,0,0.994002781104068,0,6.3711499014801,2.9933,-,0.4485,Moderate
,1043,10344432,True external,-,-0.111268825343128,2,0.99747115779406,2,0,1.5679,-,0.0507,Moderate
,1044,10347102,True external,-,0.165695701091069,8,0.997420022832866,0,10.4868561891685,2.6008,-,0.3293,Moderate
,1045,10347257,True external,-,-0.106658835630514,6,0.996142938086492,6,19.6716259552569,4.0041,-,0.2363,Moderate
,1046,10347479,True external,-,0.0390317926675184,0,0.996014213195352,0,10.4868561891685,2.2325,-,0.0609,Moderate
,1047,10349393,True external,-,-0.127013426074992,1,0.996581789053756,3,17.8359886257377,2.999,-,0.0736,Moderate
,1048,10351066,True external,-,0.396100728043335,0,0.99593549344259,0,23.2291559921287,2.8771,-,0.229,Good
,1049,10355231,True external,-,-0.477554474338563,0,0.996491171669639,0,10.4868561891685,2.425,-,0.1573,Good
,1050,10355232,True external,-,-0.420091394415108,1,0.995893303544605,0,5.24342809458423,2.3211,-,0.1308,Good
,1051,10357078,True external,-,-0.100597700606435,4,0.99906746543224,0,5.24342809458423,1.5067,-,0.1769,Good
,1052,10360194,True external,-,-0.219874035674584,13,0.997184513278721,1,0,2.8326,-,0.7367,Good
,1053,10361732,True external,-,0.0371935059255283,0,0.994535884965107,4,10.4868561891685,2.9711,-,0.2387,Good
,1054,10361788,True external,-,-0.304233744385902,8,0.998294699043778,0,0,1.9458,-,0.3647,Good
,1055,10363048,True external,-,-0.00834575864180615,2,0.997286231616466,9,34.866562400848,4.4163,-,0.4189,Good
,1056,10364034,True external,-,0.0133392537505663,2,0.996896038239898,9,34.866562400848,4.5169,-,0.4232,Good
,1057,10365247,True external,-,-0.185032952835735,0,0.997565347925316,0,5.24342809458423,1.5708,-,0.0459,Good
,1058,10365829,True external,-,-0.152878327874758,3,0.996110825519757,2,22.2579581857588,3.5893,-,0.111,Good
,1059,10368697,True external,-,-0.0842394073292782,0,0.993815354648342,0,3.18557495074005,2.4698,-,0.2588,Good
,1060,10368732,True external,-,-0.134110899408145,0,0.997411808090125,2,18.4870318372777,2.6196,-,0.0686,Good
,1061,10368944,True external,-,-0.145227432103178,0,0.998226884417762,4,10.4868561891685,2.0044,-,0.1089,Good
,1062,10372522,True external,-,-0.115763350555707,13,0.998282489062553,2,0,2.5189,-,0.8014,Good
,1063,10379298,True external,-,0.0684424701878597,0,0.994691854590002,2,5.24342809458423,2.4032,-,0.1759,Good
,1064,10382395,True external,-,0.12344082274932,0,0.994512142959253,0,0,1.9186,-,0.1979,Good
,1065,10387525,True external,-,-0.149787010153966,0,0.998355938004478,0,20.3226691667969,2.3234,-,0.1107,Good
,1066,10387801,True external,-,-0.204132311103779,0,0.996949400021892,2,10.4868561891685,2.266,-,0.0564,Good
,1067,10390455,True external,-,-0.165243183824554,0,0.996719190922517,3,19.6716259552569,2.998,-,0.0985,Good
,1068,10390647,True external,-,-0.3397768495014,2,0.995727913874858,8,0,2.6819,-,0.3749,Good
,1069,10400456,True external,-,-0.18678403723156,4,0.99474433605867,0,3.18557495074004,2.6944,-,0.1561,Good
,1070,10402511,True external,-,-0.065940706291523,0,0.99456961015645,0,0,2.0237,-,0.1732,Good
,1071,10404212,True external,-,-0.200748815777921,3,0.995477859273716,0,8.42900304532428,2.7304,-,0.0926,Good
,1072,10405091,True external,-,-0.275158979549792,3,0.995472199072441,0,13.6724311399085,3.1303,-,0.1236,Good
,1073,10406333,True external,-,-0.110762056151343,0,0.99374923647397,0,10.4868561891685,2.9941,-,0.2745,Good
,1074,10406522,True external,-,0.0453823373404111,0,0.996847052543782,2,28.1345888762248,3.3145,-,0.1353,Good
,1075,10408428,True external,-,0.100615013983192,0,0.996268960042811,0,28.1345888762248,3.2972,-,0.1649,Good
,1076,10408433,True external,-,0.0946359249107435,3,0.995487134031297,0,8.42900304532428,2.5375,-,0.0967,Good
,1077,10409277,True external,-,-0.0887464608676471,0,0.995798315558873,0,35.313305989771,4.0369,-,0.2746,Good
,1078,10410833,True external,-,0.0597425137030379,0,0.997387434258078,2,20.9737123783369,2.6681,-,0.0773,Good
,1079,10412287,True external,-,-0.105219380208735,3,0.99721035567498,3,19.6716259552569,3.1387,-,0.0821,Good
,1080,10412933,True external,-,-0.0773642424355053,0,0.997925133375944,2,25.5660972613811,2.9053,-,0.1182,Good
,1081,10413582,True external,-,0.069742989424731,6,0.997470184609291,0,5.24342809458423,2.0818,-,0.1738,Good
,1082,10414598,True external,-,0.0122553423816394,2,0.997608708036103,3,9.83581297762843,2.181,-,0.0501,Good
,1083,10417140,True external,-,-0.445962639329926,12,0.995757671565392,0,3.10146791979456,3.4208,-,0.6618,Good
,1084,10417929,True external,-,-0.248111633328454,0,0.996251086076515,7,10.4868561891685,2.8784,-,0.2688,Good
,1085,10422671,True external,-,-0.501388240081937,0,0.997323179278475,0,0,1.4952,-,0.1657,Good
,1086,10424193,True external,-,0.0653586046808868,3,0.99651117286855,0,0,1.6924,-,0.0635,Good
,1087,10425668,True external,-,-0.0162876373464605,2,0.99787462621441,0,17.0145300911745,2.3735,-,0.0702,Good
,1088,10431092,True external,-,-0.122322825785187,4,0.994857082793472,0,5.13347733228232,2.7499,-,0.1408,Good
,1089,10431797,True external,-,-0.00329662928310409,0,0.995123330802447,0,23.5422039931806,3.3937,-,0.1865,Good
,1090,10433453,True external,-,0.136911452036846,9,0.993887547104075,0,16.8580060906486,4.1904,-,0.5319,Good
,1091,10433966,True external,-,-0.120434104134418,0,0.997427029119704,2,5.24342809458423,1.7214,-,0.0448,Good
,1092,10434382,True external,-,0.244277401794808,8,0.9966465142228,0,22.2579581857588,3.5639,-,0.3987,Good
,1093,10435205,True external,-,-0.0944536578271259,5,0.995673445681211,0,13.6724311399085,3.1706,-,0.1362,Good
,1094,10436264,True external,-,0.0707971482092375,0,0.996675801638655,12,23.5422039931806,3.7997,-,0.6467,Good
,1095,10436465,True external,-,-0.376704517120733,0,0.997087411422842,2,15.7302842837527,2.6869,-,0.1232,Good
,1096,10436959,True external,-,-0.0139813568144133,0,0.997292165190432,0,22.5244463382342,2.6956,-,0.0874,Moderate
,1097,10437758,True external,-,0.127766145806209,4,0.997678555019528,0,19.6716259552569,2.7316,-,0.1453,Moderate
,1098,10438956,True external,-,-0.060404369609476,5,0.997945083912029,6,20.3226691667969,3.3807,-,0.2191,Moderate
,1099,10439014,True external,-,0.0292822870157307,6,0.998090313921314,6,0,2.0302,-,0.282,Moderate
,1100,10439609,True external,-,-0.0864618364722231,1,0.996738231649792,3,17.8359886257377,2.9269,-,0.0666,Moderate
,1101,10451809,True external,-,-0.139515118466446,0,0.99482554146769,2,0,2.1475,-,0.1724,Good
,1102,10452242,True external,-,-0.417077093830662,10,0.996488892271323,0,0,2.7645,-,0.4682,Good
,1103,10453872,True external,-,-0.154194006982629,0,0.994994448359923,0,15.7302842837527,3.0067,-,0.1546,Good
,1104,10456241,True external,-,0.15601189837416,0,0.996584067099831,0,23.5422039931806,2.8621,-,0.1211,Good
,1105,10457249,True external,-,-0.140964258582088,2,0.998030626105173,0,25.5660972613811,2.9793,-,0.1447,Good
,1106,10457518,True external,-,-0.250177073226064,0,0.995222242267537,0,20.9737123783369,3.352,-,0.1877,Good
,1107,10458959,True external,-,-0.120955806359963,0,0.997465400603491,2,17.0145300911745,2.497,-,0.0606,Good
,1108,10459154,True external,-,-0.393611306376906,0,0.99719999419912,3,19.6716259552569,3.0038,-,0.1635,Good
,1109,10459202,True external,-,0.141107506606783,8,0.997178080575477,0,10.4868561891685,2.6877,-,0.3132,Good
,1110,10459782,True external,-,-0.101657845680942,0,0.997236246055546,2,25.5660972613811,3.1233,-,0.1115,Good
,1111,10460281,True external,-,-0.155557991649326,12,0.995891872415715,0,0,2.9872,-,0.6133,Good
,1112,10462492,True external,-,-0.105974054172505,0,0.997330996550548,0,20.9737123783369,2.6398,-,0.0811,Good
,1113,10462974,True external,-,-0.0890389725475724,0,0.997166410279081,0,10.4868561891685,1.9765,-,0.0329,Good
,1114,10468408,True external,-,-0.139666324812175,1,0.995291651618943,0,5.24342809458423,2.3172,-,0.0904,Good
,1115,10470177,True external,-,-0.0612660661839109,0,0.996689248604924,0,34.0290601823491,3.6718,-,0.2167,Good
,1116,10470633,True external,-,-0.0336724674775131,0,0.994975368367298,7,5.24342809458423,2.7647,-,0.3433,Good
,1117,10471717,True external,-,-0.232431576060638,10,0.997882297950518,0,0,2.2364,-,0.486,Good
,1118,10472402,True external,-,-0.0972944728306012,0,0.998222144921817,0,30.1584821444253,2.9861,-,0.1854,Good
,1119,10472656,True external,-,0.0098918037354418,0,0.995140001447639,0,5.24342809458423,2.1576,-,0.1124,Good
,1120,10474528,True external,-,-0.109492048379605,5,0.994215751612941,0,0,2.6949,-,0.2287,Good
,1121,10474732,True external,-,-0.0786016685080653,2,0.997198690700868,9,34.866562400848,4.4872,-,0.4217,Good
,1122,10475608,True external,-,-0.17931683438994,2,0.997103083066389,0,38.8336620095717,4.163,-,0.3006,Good
,1123,10475730,True external,-,-0.1137783106156,0,0.995237594035995,0,0,1.8583,-,0.1144,Good
,1124,10476659,True external,-,0.0641770601736056,0,0.994914010907332,0,9.83581297762843,2.4959,-,0.1402,Good
,1125,10479379,True external,-,-0.101844650078389,4,0.997477403196198,2,18.9568310428539,3.0424,-,0.0981,Good
,1126,10479468,True external,-,-0.00439841055347997,0,0.994649666159865,0,1.55073395989728,2.0641,-,0.1622,Good
,1127,10479798,True external,-,-0.166181934758753,0,0.994489356275929,4,0,2.415,-,0.269,Good
,1128,10480887,True external,-,-0.240675757104504,4,0.995636628338676,0,13.6724311399085,3.1677,-,0.1249,Good
,1129,10482019,True external,-,0.0302510820792024,2,0.997105154413415,7,5.24342809458423,2.3137,-,0.2033,Good
,1130,10482105,True external,-,-0.0844107549839271,1,0.997757810115946,2,20.3226691667969,2.7165,-,0.0715,Good
,1131,10482795,True external,-,-0.239366388340411,8,0.995843279416594,8,0,3.2305,-,0.4395,Good
,1132,10483750,True external,-,-0.371990880313235,0,0.997259839017508,2,18.4870318372777,2.8174,-,0.134,Good
,1133,10486175,True external,-,-0.121734153828454,0,0.997612220001673,0,10.4868561891685,1.8666,-,0.0405,Good
,1134,10493374,True external,-,0.0028535889309747,1,0.996286649187105,1,0,1.6587,-,0.0479,Good
,1135,10494283,True external,-,-0.00134066994215102,1,0.996069462612893,0,0,1.6494,-,0.0535,Good
,1136,10495286,True external,-,-0.03543387972913,4,0.995292920045852,4,0,2.5262,-,0.1598,Good
,1137,10495336,True external,-,-0.0438916353383682,0,0.993128573610217,0,10.4868561891685,3.1334,-,0.3679,Good
,1138,10497291,True external,-,-0.175357460590873,0,0.997956692959644,4,10.4868561891685,2.1032,-,0.1042,Good
,1139,10498931,True external,-,0.00994007263730265,0,0.995216936192886,3,10.4868561891685,2.7128,-,0.1402,Good
,1140,10500218,True external,-,0.0272556021410398,0,0.994998375957736,0,22.1014341852328,3.3144,-,0.1872,Good
,1141,10500662,True external,-,-0.178253549283263,0,0.996087920294302,0,10.4868561891685,2.3507,-,0.0666,Good
,1142,10500814,True external,-,0.0579232350392324,0,0.996268960042811,0,28.1345888762248,3.3246,-,0.1602,Good
,1143,10500931,True external,-,0.0225504042989919,0,0.994939367948921,0,7.77795983378424,2.3778,-,0.1311,Good
,1144,10500979,True external,-,-0.281173311087624,0,0.995470543050088,4,20.9737123783369,3.6022,-,0.2186,Good
,1145,10501911,True external,-,0.0420976324928731,0,0.994292077229373,0,0,2.0356,-,0.2096,Good
,1146,10502591,True external,-,-0.00282778211149905,0,0.994312352087552,3,0,2.286,-,0.2494,Good
,1147,10502687,True external,-,-0.0966313137290408,0,0.9952802874082,0,28.1345888762248,3.7145,-,0.2214,Good
,1148,10503249,True external,-,-0.243285161419891,0,0.996714429887586,1,13.2436037426935,2.4686,-,0.067,Good
,1149,10503306,True external,-,-0.0536989062354052,3,0.996439464104815,6,10.4868561891685,2.9457,-,0.147,Good
,1150,10503728,True external,-,-0.124863309106667,0,0.995647139734235,0,20.863761616035,3.1391,-,0.1316,Good
,1151,10503809,True external,-,0.280610853637896,0,0.996193159868179,15,2.32792015631003,2.6163,-,1.1381,Good
,1152,10503987,True external,-,-0.227458662846815,4,0.997789250492362,4,15.0792410722127,2.9242,-,0.1284,Good
,1153,10504169,True external,-,0.220025721850005,2,0.99689399337539,0,8.42900304532428,1.9358,-,0.0714,Good
,1154,10504181,True external,-,-0.0369800583796789,0,0.99768838896969,0,10.4868561891685,1.7897,-,0.0369,Good
,1155,10504334,True external,-,-0.0967261061388964,1,0.997923507647438,0,15.0792410722127,2.1738,-,0.0569,Good
,1156,10505297,True external,-,-0.132805227566336,2,0.997966581731754,0,15.0792410722127,2.2922,-,0.07,Good
,1157,10505421,True external,-,-0.093850124862134,0,0.996686364054523,0,13.6724311399085,2.3334,-,0.0462,Good
,1158,10505902,True external,-,5.87191079821536e-05,2,0.996547947025177,25,0,3.511,-,2.8304,Good
,1159,10506024,True external,-,-0.222499492903569,0,0.998163761368233,6,15.0792410722127,2.5312,-,0.2023,Good
,1160,10506059,True external,-,-0.0143195723252896,7,0.996445189262778,3,15.7302842837527,3.4729,-,0.2007,Good
,1161,10506432,True external,-,-0.552112529242142,0,0.997725710631133,0,10.4868561891685,2.1104,-,0.2009,Good
,1162,10506952,True external,-,0.229845646685188,0,0.998008221649256,4,19.6716259552569,2.4409,-,0.1476,Good
,1163,10507725,True external,-,0.184379162006658,2,0.998602693224562,8,24.2640108383011,3.1213,-,0.3385,Good
,1164,10508818,True external,-,-0.129969458027946,2,0.996294430616402,4,22.3715011976986,3.572,-,0.1225,Good
,1165,10509241,True external,-,-0.0873453963223435,9,0.997387003056468,0,6.3711499014801,2.6063,-,0.3572,Good
,1166,10509312,True external,-,-0.0694243952748906,0,0.996061506256521,7,2.75674755352504,2.3026,-,0.2727,Good
,1167,10509837,True external,-,0.00225279151299676,0,0.997567721761726,0,6.3711499014801,1.5249,-,0.0326,Good
,1168,10515117,True external,-,-0.191766748247397,8,0.997993001453661,0,0,1.962,-,0.3238,Good
,1169,10516321,True external,-,-0.111371883848237,2,0.996363284601557,3,0,1.9692,-,0.0711,Good
,1170,10517033,True external,-,-0.160590053082033,0,0.996870144455786,0,10.4868561891685,2.1096,-,0.0424,Good
,1171,10517738,True external,-,-0.197316970411178,8,0.997507772372272,0,0,2.1081,-,0.2961,Good
,1172,10518158,True external,-,-0.291401016308378,0,0.994944732778866,0,15.7302842837527,3.1097,-,0.1901,Good
,1173,10520209,True external,-,-0.0833036810995515,0,0.997081003094641,0,10.4868561891685,1.9979,-,0.0326,Good
,1174,10521093,True external,-,0.202400945951793,0,0.99614826590495,5,26.2989515467057,3.5235,-,0.2304,Good
,1175,10521442,True external,-,0.0355552677087164,0,0.995129015968217,3,0,2.0214,-,0.1685,Good
,1176,10521945,True external,-,-0.215500586958777,0,0.998029277156946,0,34.0290601823491,3.3775,-,0.2484,Good
,1177,10522385,True external,-,-0.0894974462621394,5,0.997979799982139,0,9.83581297762843,2.2337,-,0.1376,Good
,1178,10523660,True external,-,-0.220477319076096,0,0.996095749664245,4,10.4868561891685,2.6788,-,0.1298,Good
,1179,10524534,True external,-,-0.495370214559782,8,0.996597849035959,6,13.2436037426935,3.9069,-,0.3957,Good
,1180,10525654,True external,-,0.0212815361299944,2,0.997852455950828,0,10.4868561891685,1.9197,-,0.0496,Good
,1181,10526333,True external,-,-0.118514017598817,0,0.995503306450226,0,35.313305989771,4.1428,-,0.2978,Good
,1182,10527506,True external,-,-0.0889076008173397,3,0.998398517873243,4,9.83581297762843,2.1978,-,0.1135,Good
,1183,10528159,True external,-,0.103886993316353,0,0.994891522241033,0,10.4868561891685,2.5205,-,0.1493,Good
,1184,10528313,True external,-,-0.0103080471426026,0,0.994451263493607,5,0,2.4016,-,0.31,Good
,1185,10528345,True external,-,-0.0486951829973698,0,0.994136146363372,0,0,2.1399,-,0.2228,Good
,1186,10529392,True external,-,-0.0989638970065066,0,0.993815354648342,0,3.18557495074005,2.4793,-,0.2595,Good
,1187,10529452,True external,-,-0.0404771251618283,2,0.997334419329125,0,10.4868561891685,2.1116,-,0.0334,Good
,1188,10529928,True external,-,-0.11466364782636,1,0.997195808553666,0,10.4868561891685,2.0922,-,0.0296,Good
,1189,10530258,True external,-,-0.203776741228903,4,0.997073125784947,0,20.9737123783369,3.2099,-,0.1347,Good
,1190,10530623,True external,-,-0.0241122748071239,0,0.997361147409745,4,10.4868561891685,2.1807,-,0.081,Good
,1191,10531381,True external,-,-0.209396027017635,0,0.996457183730081,7,5.24342809458423,2.4426,-,0.2621,Good
,1192,10531404,True external,-,-0.0627249731128185,0,0.994278207031576,0,31.9712070385049,4.2434,-,0.3672,Good
,1193,10531584,True external,-,-0.111814864080212,0,0.998042420544294,6,19.6716259552569,2.8024,-,0.1908,Good
,1194,10531746,True external,-,-0.00833085501468807,0,0.995299036474807,0,36.5635919215491,4.2154,-,0.3245,Good
,1195,10531788,True external,-,-0.0155570541732769,2,0.99854639950231,6,19.6716259552569,2.8081,-,0.1924,Good
,1196,10531870,True external,-,-0.427249221357015,0,0.998035840999615,0,10.4868561891685,1.9389,-,0.1425,Moderate
,1197,10531995,True external,-,0.274809838506315,3,0.997970519536173,8,24.2640108383011,3.3566,-,0.3455,Moderate
,1198,10540102,True external,-,-0.11716121462539,4,0.995596304912347,0,0,2.1865,-,0.1007,Moderate
,1199,10546053,True external,-,-0.110142664867779,0,0.995633129689723,0,15.7302842837527,2.7908,-,0.1001,Moderate
,1200,10548322,True external,-,-0.345378991467103,0,0.991750233598548,0,0,3.0316,-,0.6828,Moderate
,1201,10548555,True external,-,-0.0283633224964216,0,0.997041222015172,0,10.4868561891685,1.9742,-,0.0311,Moderate
,1202,10549707,True external,-,-0.00471607513486652,1,0.994392755900066,0,11.6145779960643,2.9201,-,0.1779,Moderate
,1203,10549832,True external,-,-0.162512550278124,5,0.996961488088639,0,5.24342809458423,2.2729,-,0.1041,Moderate
,1204,10550830,True external,-,-0.131359880641904,4,0.997638563192417,0,5.24342809458423,1.9461,-,0.0832,Good
,1205,10550985,True external,-,-0.222502436789176,2,0.995364423133346,0,20.9737123783369,3.5081,-,0.1544,Good
,1206,10551583,True external,-,-0.230813889915985,0,0.997057660230605,0,10.4868561891685,2.0997,-,0.0548,Good
,1207,10551675,True external,-,-0.114392210112631,2,0.997350783483062,0,14.4281978606726,2.4177,-,0.048,Good
,1208,10553082,True external,-,-0.0774772366896769,1,0.996356141626908,0,28.1006290005811,3.4918,-,0.1495,Good
,1209,10553215,True external,-,0.0786387917650582,0,0.996223038530589,13,5.24342809458423,2.7808,-,0.8055,Good
,1210,10553900,True external,-,-0.0676101458451619,0,0.994414892694834,0,31.9712070385049,4.2064,-,0.351,Good
,1211,10553968,True external,-,0.00643852770342162,4,0.996424723473017,7,10.4868561891685,3.0949,-,0.2077,Good
,1212,10554286,True external,-,-0.113458395848768,2,0.995583891842002,0,0,1.972,-,0.075,Good
,1213,10554366,True external,-,-0.328169658914429,0,0.996477735408296,0,36.502171774044,4.071,-,0.3192,Good
,1214,10554919,True external,-,0.26476738674898,0,0.99771438467807,4,19.6716259552569,2.5047,-,0.152,Good
,1215,10555493,True external,-,0.175204761818377,0,0.997896675985827,4,19.6716259552569,2.5088,-,0.1306,Good
,1216,10555520,True external,-,-0.128420291311268,0,0.997918683247077,0,24.9150540498411,2.745,-,0.1256,Good
,1217,10556125,True external,-,-0.128493629744379,0,0.996976879285425,2,20.9737123783369,2.9099,-,0.0825,Good
,1218,10556425,True external,-,0.172144143655092,1,0.995595450076797,6,15.0792410722127,3.1393,-,0.2293,Good
,1219,10556704,True external,-,-0.058563643599853,4,0.998132535881984,0,10.4868561891685,2.1045,-,0.1077,Good
,1220,10556745,True external,-,0.227350119584882,0,0.993916800658703,0,0,2.0266,-,0.2986,Good
,1221,10567880,True external,-,-0.075494268693753,0,0.992866613960449,0,10.4868561891685,3.2307,-,0.4137,Good
,1222,10569293,True external,-,0.171163708745612,0,0.996235052381111,0,38.1441861539417,3.9305,-,0.3069,Good
,1223,10569527,True external,-,-0.181422914106599,0,0.995129015968217,3,0,2.1611,-,0.1743,Good
,1224,10570076,True external,-,-0.177082059734618,4,0.99711166106489,2,9.83581297762843,2.5888,-,0.0679,Good
,1225,10570762,True external,-,0.111641796582204,0,0.992776499387552,0,0,2.436,-,0.4469,Good
,1226,10571558,True external,-,0.120478145816153,0,0.995281997416115,0,0,1.6944,-,0.126,Good
,1227,10572832,True external,-,-0.111058465343138,0,0.99673228240455,0,10.4868561891685,2.1182,-,0.0382,Good
,1228,10573133,True external,-,-0.0708916398353863,3,0.997502389035697,2,9.83581297762843,2.2978,-,0.0457,Good
,1229,10573359,True external,-,-0.346741796116922,0,0.99603959918252,0,15.7302842837527,2.8237,-,0.1338,Good
,1230,10573385,True external,-,0.0932079122716066,0,0.994767579923318,0,9.18476976608839,2.4767,-,0.1574,Good
,1231,10573610,True external,-,-0.0561795801552595,0,0.997511838013941,0,15.0792410722127,2.1607,-,0.047,Good
,1232,10574347,True external,-,-0.0530418940037718,0,0.99649500088724,0,20.9737123783369,2.8512,-,0.087,Good
,1233,10575117,True external,-,-0.343673843498324,10,0.997838725418714,0,0,2.3208,-,0.5038,Good
,1234,10576455,True external,-,-0.0275027648110124,0,0.995579375059834,4,0,2.0056,-,0.1628,Good
,1235,10577210,True external,-,-0.252680441501805,0,0.995937097529608,0,20.9737123783369,3.1436,-,0.1409,Good
,1236,10577734,True external,-,-0.118179100399554,0,0.99398898533152,0,3.18557495074005,2.4407,-,0.2376,Good
,1237,10578381,True external,-,0.163048935633918,0,0.998288429387067,4,19.6716259552569,2.4016,-,0.1405,Good
,1238,10578811,True external,-,0.0303913434323914,0,0.996546761724031,7,15.7302842837527,2.9626,-,0.2323,Good
,1239,10578994,True external,-,0.0661388000923816,0,0.998565206011927,4,19.6716259552569,2.3827,-,0.1388,Good
