"Table S2.Detailed statistic information of the training, test and true external sets in the Rat-QSTR models  ",,,,,,,,,,,,,
Rat-QSTR Model,Compound Information,,,,Rat-QSTR Model-Descriptor Value,,,,,Predicted Activity by  Rat-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATSC7i,CATS2D_08_DL,ChiA_X,F06[C-N],P_VSA_charge_10,Predicted endpoint,Residual,HAT i/i (h*=0.3529),
,33,98024,True external,-,0.0273297152688242,0,0.99702369283704,0,0,1.2428,-,0.0429,Good
,34,100492,True external,-,-0.0570686009587508,0,0.996227502800722,0,28.1345888762248,3.4108,-,0.1603,Good
,35,100578,True external,-,-0.0760723495651734,0,0.997722624330875,0,34.0290601823491,3.3778,-,0.2158,Good
,36,101019,True external,-,0.409828532933036,0,0.994957205840166,0,0,1.6035,-,0.262,Good
,37,101393,True external,-,0.152541169963331,0,0.996352800769545,0,0,1.3593,-,0.0749,Good
,38,101548,True external,-,-0.0323071447377199,0,0.997682486882024,0,0,1.0877,-,0.0469,Good
,39,102723,True external,-,-0.095917136763352,6,0.99741312035283,0,0,1.8549,-,0.1649,Good
,40,102724,True external,-,-0.252397387952545,8,0.997394145106669,0,0,2.1769,-,0.2981,Good
,41,102940,True external,-,0.168724189505351,0,0.996228621696078,0,0,1.3853,-,0.0832,Good
,42,102942,True external,-,-0.407239868750666,8,0.997219515621528,5,10.4868561891685,3.4076,-,0.3363,Good
,43,102991,True external,-,0.00754689769792258,0,0.99769528003112,0,9.18476976608839,1.672,-,0.0362,Good
,44,103247,True external,-,0.346931694771661,0,0.997617802318009,0,28.8563957213453,2.7906,-,0.2222,Good
,45,103942,True external,-,-0.197316970411178,8,0.997609609024417,0,0,2.0782,-,0.3012,Good
,46,104154,True external,-,-0.197183474877073,4,0.997306101357108,0,10.4868561891685,2.4365,-,0.0857,Good
,47,104460,True external,-,-0.150647468411454,0,0.997282464035114,4,23.730459931862,3.1702,-,0.1361,Good
,48,104508,True external,-,0.00921554918388609,6,0.996470642416084,0,27.344862279817,3.8911,-,0.2638,Good
,49,104635,True external,-,0.00863491506122725,0,0.998142661471065,0,0,0.9262,-,0.0638,Good
,50,104913,True external,-,-0.0391629143523603,0,0.997057660230605,0,10.4868561891685,1.9763,-,0.0311,Good
,51,105325,True external,-,-0.193515767643536,6,0.997728038015294,0,0,1.8252,-,0.1842,Good
,52,105380,True external,-,0.480063411446691,0,0.996108303227305,0,28.8563957213453,3.1483,-,0.3155,Good
,53,106126,True external,-,-0.0600217387780122,0,0.99726838758276,0,15.4108141137056,2.2569,-,0.0463,Good
,54,106785,True external,-,-0.248566503160606,12,0.995771662917271,0,1.55073395989728,3.186,-,0.617,Good
,55,106853,True external,-,-0.324058672417985,2,0.996014127349295,0,6.79416205448151,2.4352,-,0.087,Good
,56,108585,True external,-,0.139841976451894,0,0.995881786977353,4,20.9737123783369,3.2104,-,0.1661,Good
,57,108586,True external,-,0.238873516402108,0,0.996263964359841,2,20.9737123783369,2.8828,-,0.1337,Good
,58,108933,True external,-,0.0634363900478558,4,0.997921208451009,0,10.4868561891685,2.0881,-,0.1062,Good
,59,109139,True external,-,-0.156022663213744,6,0.997482011085154,0,29.5074389328853,3.8449,-,0.3028,Good
,60,109327,True external,-,0.0553337784330729,2,0.996961049122733,4,19.6716259552569,3.0765,-,0.0933,Good
,61,109428,True external,-,0.0743970829568873,0,0.996538685762157,0,0,1.355,-,0.0549,Good
,62,110384,True external,-,-0.113697853273037,3,0.995932150016062,7,9.55090960800655,3.1466,-,0.2171,Good
,63,110678,True external,-,0.02282555530086,4,0.99705186768757,0,19.6716259552569,2.9832,-,0.1155,Good
,64,110837,True external,-,-0.615987193906639,0,0.995613155988092,4,33.2034927557905,4.593,-,0.4935,Moderate
,65,110990,True external,-,0.0252090780872102,0,0.996234149048401,0,9.18476976608839,2.0898,-,0.0484,Good
,66,111281,True external,-,-0.163470738852727,0,0.997715194728148,0,13.7771546491326,2.0831,-,0.0571,Good
,67,111358,True external,-,0.162298421599137,0,0.995355850127851,0,0,1.6458,-,0.13,Good
,68,111466,True external,-,0.0204105108706439,2,0.99575396174467,0,13.7771546491326,2.7564,-,0.074,Good
,69,111542,True external,-,-0.231405482116017,4,0.996228488149311,0,10.4868561891685,2.775,-,0.0915,Good
,70,111707,True external,-,0.163605822933734,0,0.9969325834991,0,10.4868561891685,1.8825,-,0.0543,Good
,71,112194,True external,-,0.386587372449781,0,0.996687414212265,0,19.6716259552569,2.4247,-,0.1712,Good
,72,112746,True external,-,0.0364176315240022,0,0.997527610719462,0,0,1.089,-,0.0472,Good
,73,112787,True external,-,-0.0865362997189426,4,0.995903051477052,0,0,2.0767,-,0.0876,Good
,74,112875,True external,-,-0.48925577775554,12,0.996215422635817,0,3.10146791979456,3.3142,-,0.6784,Good
,75,112882,True external,-,-0.188790576542694,4,0.997118038823014,0,10.4868561891685,2.4863,-,0.0809,Good
,76,113415,True external,-,0.0817496016087769,0,0.996541650538148,0,0,1.3494,-,0.0559,Good
