"Table S1.Detailed statistic information of the training, test and true external sets in the Mouse-QSTR models  ",,,,,,,,,,,,,,
Mouse-QSTR Model,Compound Information,,,,Mouse-QSTR Model-Descriptor Value,,,,,,Predicted Activity by  Mouse-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATS3p,F10[C-O],minHBint3,P_VSA_charge_10,P_VSA_charge_14,SM1_Dzm,Predicted endpoint,Residual,HAT i/i (h*=0.4375),
,964,10162689,True external,-,1.43377633432972,4,0,15.07924107,7.191330476,1.800747262,2.8178,-,0.058,Good
,965,10162745,True external,-,1.31922382541064,0,0,10.48685619,0,0.783531515,2.6198,-,0.0711,Good
,966,10163759,True external,-,1.83520811081846,16,2.22199100942278,0,0,2.619483335,2.1263,-,0.4868,Good
,967,10164066,True external,-,1.5346337429141,16,0.230275778217195,10.48685619,13.95383356,2.528390569,2.1885,-,0.1182,Good
,968,10164673,True external,-,1.47553587204645,8,0.857769406048901,23.54220399,13.95383356,2.528390569,3.2783,-,0.1468,Good
,969,10164937,True external,-,1.52162750374514,16,0,20.97371238,9.920953895,2.74192137,2.9587,-,0.1431,Good
,970,10164938,True external,-,1.52162750374513,22,0,20.97371238,9.920953895,2.74192137,2.7515,-,0.2481,Good
,971,10165778,True external,-,1.57726635757032,14,0,0,7.191330476,2.243390212,1.7523,-,0.1887,Good
,972,10166371,True external,-,1.49357071372045,22,3.59110750346165,39.27248828,1.819748946,2.243390212,4.2307,-,0.3924,Good
,973,10169163,True external,-,1.81860244118483,19,0,34.92875093,7.191330476,5.406722583,4.6104,-,0.5748,Good
,974,10174196,True external,-,1.69065357772348,4,0,9.121018065,0,1.258085889,2.2472,-,0.0827,Good
,975,10174371,True external,-,1.7009753316426,9,0,5.243428095,0,1.139562495,1.8083,-,0.1775,Good
,976,10174790,True external,-,1.79910099044926,4,0,0,0,1.739979034,1.8891,-,0.107,Good
,977,10178201,True external,-,1.48155166445431,6,0,0,7.191330476,1.495593475,1.7783,-,0.0621,Good
,978,10179810,True external,-,1.7317525329074,4,2.02183735486043,28.13458888,7.191330476,1.887359232,3.475,-,0.2276,Good
,979,10181513,True external,-,1.31090420930041,0,1.75388859444655,10.48685619,0,0.783531515,2.8477,-,0.131,Good
,980,10182115,True external,-,1.63900299181345,14,0,20.97371238,15.29253543,1.994124633,2.3637,-,0.2236,Good
,981,10182177,True external,-,1.49334010952464,2,0,10.48685619,0,1.159715925,2.5458,-,0.0501,Good
,982,10184212,True external,-,1.46446642752648,6,0,9.835812978,0,1.907421376,2.7537,-,0.0589,Good
,983,10184221,True external,-,1.32157039578023,0,0,10.48685619,0,0.783531515,2.6174,-,0.0709,Good
,984,10184486,True external,-,1.34559219457933,2,0,19.67162596,0,1.282062673,3.2305,-,0.1164,Good
,985,10185137,True external,-,1.79350647481678,0,0,10.48685619,7.191330476,3.138698144,2.9707,-,0.109,Good
,986,10186331,True external,-,1.49288801251353,16,3.21923723479188,33.37801697,7.191330476,1.994124633,3.7791,-,0.2655,Good
,987,10186423,True external,-,1.49729932001839,6,0,22.42837351,0,1.282062673,3.0769,-,0.1298,Good
,988,10186649,True external,-,1.44809159666308,7,2.36437926269133,23.54220399,13.95383356,2.528390569,3.5296,-,0.2344,Good
,989,10187126,True external,-,2.28333388626666,0,0.189826832905899,10.48685619,7.191330476,5.213436499,3.4556,-,0.3501,Good
,990,10187234,True external,-,1.37914998839707,8,0,20.32266917,7.191330476,1.139562495,2.6978,-,0.1185,Good
,991,10187808,True external,-,1.46712859891508,4,0.577688499595475,13.24360374,0,1.943156154,3.0847,-,0.0591,Good
,992,10188467,True external,-,1.49152931220933,5,0.578443618699788,13.24360374,0,1.943156154,3.0249,-,0.0511,Good
,993,10188746,True external,-,1.6138409177609,6,0,28.72889232,19.63473836,4.707232981,4.1794,-,0.6222,Good
,994,10195017,True external,-,1.41489320401666,2,0,15.07924107,0,0.641031337,2.6217,-,0.1,Good
,995,10195170,True external,-,1.45080780111084,2,0,15.07924107,0,0.641031337,2.5844,-,0.1062,Good
,996,10200226,True external,-,1.58711066104245,2,0,10.48685619,0,0.890296916,2.3223,-,0.0852,Good
,997,10200771,True external,-,1.63889191077493,8,0,0,0,0.997062316,1.5701,-,0.1918,Good
,998,10202488,True external,-,1.23944298748426,0,0,10.48685619,0,0.783531515,2.7028,-,0.0823,Good
,999,10202738,True external,-,1.40426593767806,0,0,10.48685619,0,0.783531515,2.5315,-,0.0686,Good
,1000,10202761,True external,-,1.56569437180363,2,0,10.48685619,7.759516037,1.993663835,2.5826,-,0.0425,Good
,1001,10204938,True external,-,1.49173069995592,4,0,15.07924107,7.191330476,1.800747262,2.7576,-,0.0562,Good
,1002,10205283,True external,-,1.38531648540595,8,0,9.835812978,0,0.641031337,2.1747,-,0.1109,Good
,1003,10205424,True external,-,1.59468667033501,2,0,15.07924107,0,1.963400871,3.0532,-,0.0632,Good
,1004,10205431,True external,-,1.4846944457231,12,0,11.614578,0,1.994124633,2.6578,-,0.1101,Good
,1005,10205593,True external,-,1.8341055196,0,0.0561080148215406,13.67243114,7.191330476,4.039853322,3.5213,-,0.2476,Good
,1006,10205815,True external,-,1.54388007807353,13,0,34.02906018,7.191330476,1.744859054,3.3443,-,0.3413,Good
,1007,10205876,True external,-,1.60124008234304,7,2.00355432505242,5.243428095,13.73836983,2.499579407,2.3754,-,0.1647,Good
,1008,10206758,True external,-,1.40847449531485,4,0,10.48685619,7.191330476,1.800747262,2.6071,-,0.0365,Good
,1009,10207703,True external,-,1.87351640995565,4,0,0,0,3.083856879,2.4402,-,0.1329,Good
,1010,10209386,True external,-,1.50966857577474,7,0.845623837724043,10.48685619,0,2.405952534,3.0446,-,0.0999,Good
,1011,10210082,True external,-,1.39030526671056,7,0,17.83598863,19.63473836,3.595561911,3.2953,-,0.3026,Good
,1012,10211410,True external,-,1.74279333880059,13,0,33.37801697,0,4.247006657,4.5316,-,0.3886,Good
,1013,10212461,True external,-,1.91042447169081,22,0,10.48685619,8.101204949,3.352228945,2.1569,-,0.3467,Good
,1014,10215062,True external,-,1.60078646431231,1,2.5141738889846,10.48685619,0,1.246327895,2.8234,-,0.181,Good
,1015,10217067,True external,-,1.38007001452769,2,0,15.07924107,0,0.641031337,2.6579,-,0.0957,Good
,1016,10217295,True external,-,1.39652440520109,2,0,15.07924107,0,0.641031337,2.6408,-,0.0976,Good
,1017,10217755,True external,-,1.412039452436,3,0,20.32266917,7.759516037,1.993663835,3.2153,-,0.1317,Good
,1018,10217780,True external,-,1.72657149996015,2,0,0,0,1.658155797,1.9953,-,0.0789,Good
,1019,10217823,True external,-,1.73924940748048,4,0,0,0,1.032797094,1.6207,-,0.1542,Good
,1020,10217858,True external,-,1.90832637813207,8,2.4509815383564,10.48685619,8.101204949,3.565759746,3.0486,-,0.2518,Good
,1021,10218040,True external,-,1.70822890240153,13,0,0,7.191330476,1.388828074,1.2511,-,0.2645,Good
,1022,10218159,True external,-,1.80782876208109,4,0,0,0,2.21266645,2.1011,-,0.0944,Good
,1023,10223802,True external,-,1.78859153516292,2,2.6627508313003,19.78732133,0,2.381010371,3.6227,-,0.2125,Good
,1024,10224412,True external,-,1.41632356886107,2,0,10.48685619,0,0.641031337,2.3833,-,0.0746,Good
,1025,10224667,True external,-,1.82517298242847,3,0,43.32952532,0,2.381010371,4.4322,-,0.6403,Good
,1026,10225357,True external,-,1.72347295720204,0,0,10.48685619,8.101204949,1.744859054,2.3592,-,0.0865,Good
,1027,10225427,True external,-,1.39065375475471,4,0,15.07924107,7.191330476,1.139562495,2.5534,-,0.0716,Good
,1028,10225613,True external,-,1.49229325653646,2,0,9.835812978,6.762503079,1.282062673,2.3283,-,0.0455,Good
,1029,10226179,True external,-,1.59303963107457,2,0,10.48685619,7.759516037,1.993663835,2.5542,-,0.0428,Good
,1030,10227576,True external,-,1.25919142134137,0,0,10.48685619,0,0.783531515,2.6822,-,0.0788,Good
,1031,10227815,True external,-,1.33275453906726,2,0,19.67162596,0,1.282062673,3.2438,-,0.1183,Moderate
,1032,10228889,True external,-,1.52712311392269,19,0.239538412119902,10.48685619,13.95383356,2.528390569,2.0939,-,0.1766,Moderate
,1033,10230491,True external,-,1.53674906783962,11,2.38006320261916,32.66322206,13.95383356,2.753679363,3.8773,-,0.2839,Moderate
,1034,10231736,True external,-,2.04948289526415,6,0.0525973183373975,7.001213063,8.101204949,4.888129281,3.1097,-,0.2666,Moderate
,1035,10244763,True external,-,1.60805133189342,0,0,10.48685619,0,0.747796737,2.303,-,0.1068,Moderate
,1036,10246127,True external,-,1.66020439181111,2,0,0,0,0.890296916,1.7052,-,0.1194,Good
,1037,10246180,True external,-,1.56496108104188,4,0,0,0,0.747796737,1.6685,-,0.1296,Moderate
,1038,10247482,True external,-,1.70652123419366,4,0,33.7920588,0,1.388828074,3.5649,-,0.3994,Moderate
,1039,10250383,True external,-,1.58317205939993,0,0,20.97371238,0,1.495593475,3.2197,-,0.1451,Good
,1040,10251149,True external,-,1.79499858560975,0,0,6.371149901,14.38266095,2.817963009,2.3493,-,0.1115,Good
,1041,10251406,True external,-,1.50485559071867,4,0,15.07924107,0,0.890296916,2.5757,-,0.0933,Good
,1042,10251563,True external,-,1.77899899535264,8,2.48024424373204,10.48685619,0,1.495593475,2.5088,-,0.2008,Good
,1043,10251986,True external,-,1.53629779166064,4,0,20.97371238,0,1.495593475,3.1303,-,0.1094,Good
,1044,10252856,True external,-,1.5608595593392,7,3.72420682750992,5.243428095,0.909874473,1.139562495,2.4558,-,0.4449,Good
,1045,10253317,True external,-,1.72296106129662,7,0,40.55673408,14.38266095,2.243390212,3.6778,-,0.6887,Good
,1046,10253593,True external,-,1.37132158380743,6,0,20.32266917,7.191330476,1.388828074,2.8916,-,0.1047,Good
,1047,10254343,True external,-,1.72043084578606,2,0,15.07924107,0,1.820900693,2.8559,-,0.0717,Good
,1048,10254769,True external,-,1.64087760114213,4,0,15.07924107,0,1.622421019,2.7767,-,0.0647,Good
,1049,10254896,True external,-,1.36406285273036,7,0,0,10.17259859,2.12440602,2.0531,-,0.089,Good
,1050,10256683,True external,-,1.49840708528782,13,0,35.40191024,7.191330476,1.638093653,3.4125,-,0.369,Good
,1051,10257675,True external,-,1.56518922111534,6,2.33258296185893,22.65058932,0.909874473,2.690952891,3.9356,-,0.2148,Good
,1052,10258494,True external,-,1.67844643791376,25,0,12.7422998,14.38266095,3.240452528,2.1335,-,0.3567,Good
,1053,10258688,True external,-,1.6761536397829,28,0,12.7422998,14.38266095,3.489718107,2.1489,-,0.4611,Good
,1054,10269767,True external,-,1.50064452477394,4,0,5.133477332,0,1.246327895,2.2334,-,0.0555,Good
,1055,10270987,True external,-,1.68176272619552,4,0,3.185574951,0.909874473,1.495593475,2.0286,-,0.07,Good
,1056,10271303,True external,-,1.63538502866449,4,0,12.81477635,0,0.926031694,2.3399,-,0.1143,Good
,1057,10271974,True external,-,1.45172886519382,7,0,10.37690543,0,0.997062316,2.3346,-,0.078,Good
,1058,10273115,True external,-,1.60823062543897,3,0.626170651169092,10.48685619,0,1.907421376,2.8197,-,0.0395,Good
,1059,10273812,True external,-,1.29888377153892,0,0,10.48685619,0,0.783531515,2.641,-,0.0731,Good
,1060,10274079,True external,-,1.41637489042282,0,0,10.48685619,0,0.783531515,2.5189,-,0.069,Good
,1061,10276183,True external,-,1.94044559767274,0,0,10.48685619,7.191330476,2.151681899,2.3565,-,0.1228,Good
,1062,10277497,True external,-,1.36578871019754,9,1.20445922790689,32.09377116,0,1.780593832,3.9924,-,0.1871,Good
,1063,10279093,True external,-,1.47710092659748,8,3.7001308309035,15.07924107,0.909874473,2.120952177,3.4718,-,0.404,Good
,1064,10279550,True external,-,1.48775380509823,20,0,20.97371238,16.2024099,2.243390212,2.3977,-,0.2398,Good
,1065,10281016,True external,-,1.94617655073881,7,0.125951335111058,10.48685619,8.101204949,3.728413356,2.8293,-,0.1048,Good
,1066,10282003,True external,-,1.55182168425411,31,0,34.02906018,23.39374037,3.240452528,2.8337,-,0.6594,Good
,1067,10286405,True external,-,1.45617122075407,2,0,0,0,0.498531158,1.7341,-,0.1099,Good
,1068,10286905,True external,-,1.66815496007525,4,0,0,0,1.638093653,1.9776,-,0.0882,Good
,1069,10288130,True external,-,1.4655304568613,2,0,15.07924107,0,0.641031337,2.5691,-,0.1093,Good
,1070,10288345,True external,-,1.73423044837586,2,0,0,0,1.032797094,1.6949,-,0.1284,Good
,1071,10288652,True external,-,1.52243446843057,4,0,0,0,0.890296916,1.7793,-,0.1075,Good
,1072,10288880,True external,-,1.69807067095031,10,0,5.448820934,0,1.282062673,1.854,-,0.1773,Good
,1073,10288902,True external,-,1.77525142432933,4,0,0,0,1.551481683,1.8258,-,0.1133,Good
,1074,10288986,True external,-,1.54467068163446,16,0.23998375892913,10.48685619,13.95383356,2.528390569,2.1793,-,0.1188,Good
,1075,10292217,True external,-,1.52644552712707,5,0,5.243428095,8.66939051,2.349694814,2.3832,-,0.0419,Good
,1076,10293701,True external,-,1.57504237363074,4,0,10.48685619,0,1.139562495,2.3824,-,0.0657,Good
,1077,10294051,True external,-,1.33113568610481,0,0,10.48685619,0,0.783531515,2.6075,-,0.0701,Good
,1078,10294698,True external,-,1.39837303620684,6,0,0,0,1.139562495,1.9558,-,0.1142,Good
,1079,10294913,True external,-,1.33031825817889,0,1.76720889150943,10.48685619,0,0.783531515,2.8292,-,0.1281,Good
,1080,10295068,True external,-,1.82100951100607,0,0,10.48685619,7.191330476,2.096010014,2.4546,-,0.0861,Good
,1081,10296263,True external,-,1.46990136076123,4,0,15.07924107,7.191330476,1.139562495,2.4711,-,0.0833,Good
,1082,10297288,True external,-,1.38530283361779,0,1.80742901220438,10.48685619,0,1.907421376,3.3026,-,0.2117,Good
,1083,10297910,True external,-,1.33015016437735,0,0,19.67162596,0,0.783531515,3.0824,-,0.1464,Good
,1084,10299578,True external,-,1.67328222732667,14,0,20.97371238,14.38266095,2.868748914,2.7697,-,0.1601,Good
,1085,10300032,True external,-,1.48818877378717,4,0,20.32266917,7.191330476,1.800747262,3.0318,-,0.1111,Good
,1086,10300641,True external,-,1.36022459717635,4,0,10.48685619,0,1.907421376,2.9647,-,0.0846,Good
,1087,10301329,True external,-,2.0593621221875,0,0.147555579633983,10.48685619,8.101204949,4.389598123,3.2652,-,0.237,Good
,1088,10301645,True external,-,1.45899144165612,6,0,9.835812978,0,1.907421376,2.7594,-,0.0598,Good
,1089,10302008,True external,-,1.40839986959652,9,0.938490564067036,23.54220399,13.95383356,2.777656148,3.4402,-,0.1681,Good
,1090,10302347,True external,-,1.2663707943209,0,0,10.48685619,0,0.783531515,2.6748,-,0.0776,Good
,1091,10303168,True external,-,1.49074495719358,23,1.65096841184386,10.48685619,0,2.74192137,2.7696,-,0.4627,Good
,1092,10304031,True external,-,1.15921306084022,10,0,20.97371238,0,1.282062673,3.2151,-,0.1422,Good
,1093,10308828,True external,-,1.53323517305659,4,0,5.243428095,0,1.246327895,2.2052,-,0.057,Good
,1094,10309149,True external,-,1.61046058056474,2,0,0,0,1.981905841,2.2674,-,0.0794,Good
,1095,10310500,True external,-,1.73600690873557,4,0,0,0,1.032797094,1.624,-,0.1529,Good
,1096,10310713,True external,-,1.7311258732154,6,0,0,0,0.890296916,1.4934,-,0.2042,Good
,1097,10310779,True external,-,1.71762371843528,4,0,9.121018065,0,1.258085889,2.2191,-,0.0917,Good
,1098,10310991,True external,-,1.72759225159625,10,0,5.243428095,0,1.139562495,1.7461,-,0.2115,Good
,1099,10316624,True external,-,1.41186394837131,5,1.43159674920867,4.592384883,0,2.136624811,2.8584,-,0.1995,Good
,1100,10317916,True external,-,1.72363556004651,8,0,0,0,1.638093653,1.7818,-,0.1558,Good
,1101,10318144,True external,-,1.7775839626693,0,0,5.243428095,7.191330476,2.014186776,2.1909,-,0.0565,Good
,1102,10320239,True external,-,1.77257294794,7,0,4.592384883,7.191330476,1.994124633,1.9114,-,0.0764,Good
,1103,10321482,True external,-,1.55843524828949,14,3.72017986486776,8.000175648,0.909874473,1.638093653,2.5915,-,0.4884,Good
,1104,10324220,True external,-,1.54073196384856,12,0,9.835812978,28.18500912,1.75178267,1.3851,-,0.2957,Good
,1105,10324483,True external,-,1.49745592836326,14,0,36.05295345,7.191330476,1.638093653,3.4126,-,0.3873,Good
,1106,10324725,True external,-,1.62215847713233,5,0,37.84566553,0,2.192421733,4.203,-,0.4098,Good
,1107,10325981,True external,-,1.30643948168408,14,0,20.97371238,21.57399143,1.744859054,2.3678,-,0.2207,Good
,1108,10326098,True external,-,1.6087440315965,9,0,19.67162596,0,2.013305187,3.0572,-,0.0917,Good
,1109,10333643,True external,-,1.55644106885245,0,3.05044453095474,8.429003045,0,1.744859054,3.0979,-,0.3292,Good
,1110,10335300,True external,-,1.58525367416771,0,0,5.243428095,0,0.747796737,2.0561,-,0.0862,Good
,1111,10335638,True external,-,1.29118414374318,0,0,15.07924107,0,0.641031337,2.8193,-,0.1047,Good
,1112,10336447,True external,-,1.55149854918718,2,0,5.243428095,0,0.890296916,2.0888,-,0.0712,Good
,1113,10336602,True external,-,1.56367162944844,0,2.9294438331522,8.429003045,0,1.495593475,2.9587,-,0.282,Good
,1114,10336603,True external,-,1.67441616503748,1,2.60163193699687,15.73028428,7.191330476,1.495593475,2.8874,-,0.2001,Good
,1115,10336746,True external,-,1.56869376117834,3,2.45923241483172,0,0,1.246327895,2.2396,-,0.2802,Good
,1116,10338798,True external,-,1.77092039289832,5,0,0,0,1.246327895,1.6531,-,0.1552,Good
,1117,10339383,True external,-,1.4920162362766,2,0,20.97371238,7.191330476,1.495593475,2.9878,-,0.1502,Good
,1118,10340893,True external,-,1.63292235834366,4,0,15.73028428,0,0.890296916,2.4762,-,0.1374,Good
,1119,10341182,True external,-,1.45332606215054,8,2.83593004152755,15.07924107,0,0.997062316,2.8955,-,0.1945,Good
,1120,10341452,True external,-,1.66961186909211,10,0,10.48685619,0,2.049921554,2.5026,-,0.0887,Good
,1121,10344953,True external,-,1.41902372169326,8,0,5.243428095,17.00869966,2.492194993,2.1592,-,0.0775,Good
,1122,10345222,True external,-,1.70185201524031,10,0,12.37034472,14.38266095,2.492655791,2.2583,-,0.0919,Good
,1123,10345983,True external,-,1.39593589763542,16,0,10.48685619,7.191330476,1.388828074,2.0132,-,0.1625,Moderate
,1124,10346046,True external,-,1.48525864106617,6,0,0,30.51779577,3.595561911,1.921,-,0.3174,Moderate
,1125,10346088,True external,-,1.52614753329132,11,0,40.77938935,7.191330476,2.065594189,3.9301,-,0.4805,Moderate
,1126,10346097,True external,-,1.59556713790193,9,0,18.91585923,0,1.495593475,2.7898,-,0.1125,Moderate
,1127,10346630,True external,-,1.448943613713,6,0,25.56609726,7.191330476,1.388828074,3.0815,-,0.1912,Good
,1128,10347444,True external,-,1.48150450944204,10,0,0,37.70912624,3.844827491,1.6458,-,0.4299,Good
,1129,10347459,True external,-,1.38826050896947,7,0,15.73028428,7.191330476,1.638093653,2.719,-,0.0542,Good
,1130,10350429,True external,-,1.29887187263286,7,0,0,0,1.032797094,1.9747,-,0.1378,Good
,1131,10358251,True external,-,1.65156553743628,0,2.62710875707335,10.48685619,7.191330476,1.495593475,2.6783,-,0.2096,Good
,1132,10361807,True external,-,1.51704412880864,4,2.38193537633684,0,0,1.282062673,2.2658,-,0.2791,Good
,1133,10362368,True external,-,1.55003205388771,9,2.82674700547027,0,0,1.495593475,2.2144,-,0.4057,Good
,1134,10362665,True external,-,1.62410811715262,6,0,10.48685619,0,0.890296916,2.1458,-,0.1237,Good
,1135,10363265,True external,-,1.63787128796841,2,0,22.25795819,0,2.096010014,3.4408,-,0.1348,Good
,1136,10363411,True external,-,1.59785720698171,8,1.46360925035566,5.243428095,0,1.673828431,2.3827,-,0.1299,Good
,1137,10364091,True external,-,1.5661893664635,6,2.08551667574593,13.67243114,0,1.495593475,2.914,-,0.1076,Good
,1138,10364168,True external,-,1.36821598828227,4,0,5.243428095,0,1.139562495,2.3267,-,0.0612,Good
,1139,10364206,True external,-,1.49453518833256,4,2.10404563766454,8.429003045,0,1.994124633,3.0224,-,0.1905,Good
,1140,10368950,True external,-,1.74306896741141,8,0,9.121018065,7.191330476,2.255148205,2.2633,-,0.0563,Good
,1141,10369030,True external,-,1.62900596941722,15,0,44.68633169,7.191330476,2.136624811,3.92,-,0.612,Good
,1142,10369384,True external,-,1.3461391845652,14,0,0,7.191330476,1.638093653,1.7094,-,0.1903,Good
,1143,10369420,True external,-,1.48207298864109,4,0,10.48685619,0,1.032797094,2.4291,-,0.0586,Good
,1144,10369870,True external,-,1.53220091343938,4,0,20.97371238,0,0.997062316,2.9014,-,0.1453,Good
,1145,10369916,True external,-,2.00644910107246,4,0,10.48685619,0,2.492655791,2.5668,-,0.0922,Good
,1146,10369969,True external,-,1.3998656722127,18,0,28.79264402,0.909874473,2.005882626,3.3982,-,0.2516,Good
,1147,10370473,True external,-,1.50533226869258,12,0,16.85800609,0,1.994124633,2.9069,-,0.1039,Good
,1148,10372421,True external,-,2.33084409914269,0,2.43846193837237,0,0.909874473,5.143587528,3.3384,-,0.6957,Good
,1149,10372893,True external,-,1.60791185647509,17,0.609667521128002,35.02093404,8.101204949,3.82551033,4.2074,-,0.3285,Good
,1150,10373340,True external,-,1.74789248336048,4,0,20.97371238,0,4.420855278,4.2782,-,0.3795,Good
,1151,10383226,True external,-,1.56118236903957,1,0,42.04527951,0,1.282062673,4.1955,-,0.6542,Good
,1152,10383474,True external,-,1.66932683700943,3,0,25.64790834,0,1.531328252,3.2845,-,0.204,Good
,1153,10386463,True external,-,1.48825177068025,3,4.47896380534771,9.835812978,0,0.890296916,2.9167,-,0.5649,Good
,1154,10386850,True external,-,1.50805891346109,9,2.68533387617608,13.67243114,0,1.495593475,2.9458,-,0.1884,Good
,1155,10387246,True external,-,1.48407549997745,6,0,20.32266917,7.191330476,1.388828074,2.7744,-,0.1184,Good
,1156,10387965,True external,-,1.94162612358934,2,0,0,0,1.653150741,1.7695,-,0.1422,Good
,1157,10388371,True external,-,1.44955969116239,12,0,5.243428095,14.38266095,1.638093653,1.684,-,0.098,Good
,1158,10389467,True external,-,1.49629752942774,0,0,10.48685619,19.63473836,3.804212693,3.1452,-,0.3812,Good
,1159,10389717,True external,-,1.56087829392373,6,2.01936374144208,8.429003045,0,1.495593475,2.6407,-,0.1335,Good
,1160,10389845,True external,-,1.65447064649026,8,0,23.07941672,7.191330476,1.887359232,2.9037,-,0.1561,Good
,1161,10390557,True external,-,1.43523536395623,6,0,0,20.34519718,2.859983966,1.9933,-,0.1432,Good
,1162,10391909,True external,-,1.35621112621738,9,0,5.243428095,20.28750924,2.726778956,2.1822,-,0.1237,Good
,1163,10392866,True external,-,1.59474090451094,8,0,0,0,0.997062316,1.616,-,0.1778,Good
,1164,10393458,True external,-,1.39912554798892,12,2.31056102790026,10.48685619,7.191330476,2.797809579,3.0956,-,0.2862,Good
,1165,10393875,True external,-,1.51096821848018,8,2.44760428935745,15.73028428,0.909874473,1.780593832,3.1545,-,0.1477,Good
,1166,10394435,True external,-,1.48187861383762,5,0,17.83598863,8.101204949,2.884421549,3.3497,-,0.1375,Good
,1167,10401107,True external,-,1.60679843753846,0,2.98191917989418,8.429003045,0,1.495593475,2.9205,-,0.2832,Good
,1168,10403144,True external,-,1.3913149049092,2,0,10.48685619,0,0.498531158,2.3426,-,0.0836,Good
,1169,10403248,True external,-,1.53021948343285,0,0,15.62033352,0,0.747796737,2.6488,-,0.1245,Good
,1170,10404106,True external,-,1.55700383891154,0,3.87686717703821,5.243428095,0,0.997062316,2.6866,-,0.4883,Good
,1171,10404805,True external,-,1.50256263048558,5,0,9.184769766,0,1.139562495,2.356,-,0.0585,Good
,1172,10406053,True external,-,1.36522889967392,1,0,20.32266917,0,1.139562495,3.2115,-,0.1324,Good
,1173,10406176,True external,-,1.58879673518607,0,0,10.48685619,0,0.641031337,2.2731,-,0.1139,Good
,1174,10407959,True external,-,1.79730337515463,4,0,0,4.275822538,2.156686955,1.9327,-,0.0731,Good
,1175,10408060,True external,-,1.7716751054972,5,2.50977135062065,5.243428095,0,1.246327895,2.2365,-,0.2422,Good
,1176,10408763,True external,-,1.50600613284948,2,0,15.07924107,0,0.641031337,2.527,-,0.1192,Good
,1177,10410438,True external,-,1.39860541577249,4,0,12.59256053,0,1.282062673,2.741,-,0.0529,Good
,1178,10410775,True external,-,1.18167369103043,0,0,10.48685619,0,1.032797094,2.8793,-,0.1067,Good
,1179,10411572,True external,-,1.51721901657499,4,0,0,0,0.783531515,1.7348,-,0.1153,Good
,1180,10411734,True external,-,1.61063738701759,11,0,20.86376162,7.191330476,2.243390212,2.8978,-,0.1069,Good
,1181,10412485,True external,-,1.38805781470729,6,0,25.56609726,7.191330476,1.388828074,3.1448,-,0.1829,Good
,1182,10414824,True external,-,1.56675469006326,16,0,20.97371238,0,1.246327895,2.5677,-,0.2584,Good
,1183,10415347,True external,-,1.57991137047554,9,0,19.67162596,0,1.388828074,2.7952,-,0.1238,Good
,1184,10415751,True external,-,1.46908625797164,21,0.346838099092434,49.41232814,0,1.673828431,4.2073,-,0.6762,Good
,1185,10415872,True external,-,1.56518922111534,6,2.34471194402263,22.65058932,0.909874473,2.690952891,3.9371,-,0.2162,Good
,1186,10417068,True external,-,1.43715966393977,21,0,17.83598863,8.101204949,2.884421549,2.8437,-,0.2341,Good
,1187,10426459,True external,-,1.65486828795852,2,2.45296978450885,23.54220399,0,1.139562495,3.3487,-,0.1974,Good
,1188,10428269,True external,-,1.71190176245492,6,0,0,0,1.388828074,1.7465,-,0.1366,Good
,1189,10428270,True external,-,1.6092022458119,2,0,33.37801697,0,0.890296916,3.4806,-,0.44,Good
,1190,10428974,True external,-,1.77392567075037,0,0,0,0,0.747796737,1.5895,-,0.167,Good
,1191,10429039,True external,-,1.47705237067389,4,0,5.243428095,0,1.139562495,2.2136,-,0.0578,Good
,1192,10431635,True external,-,1.47364549464248,8,0,5.243428095,7.191330476,1.388828074,1.9381,-,0.0561,Good
,1193,10431792,True external,-,1.66636396101342,0,1.49390410754194,10.48685619,7.191330476,2.266906198,2.8819,-,0.1106,Good
,1194,10433271,True external,-,1.53332670497442,4,0,0,0,0.783531515,1.7181,-,0.1185,Good
,1195,10433309,True external,-,1.48936255129918,10,0,0,7.191330476,1.638093653,1.6987,-,0.111,Moderate
,1196,10433978,True external,-,1.48751255252991,2,0,15.07924107,0,0.641031337,2.5462,-,0.1144,Moderate
,1197,10434209,True external,-,1.46412900763643,8,0,10.48685619,14.38266095,0.997062316,1.7778,-,0.1304,Moderate
,1198,10436284,True external,-,1.99626732824242,0,0,0,0,2.492655791,2.1743,-,0.1001,Good
,1199,10436416,True external,-,1.37051235072906,2,0,36.27337233,0,0.926031694,3.8948,-,0.4508,Good
,1200,10437059,True external,-,1.46571671841821,18,0,15.73028428,7.191330476,1.638093653,2.2587,-,0.1962,Moderate
,1201,10438316,True external,-,1.71256377275989,4,0,0,0,0.997062316,1.6317,-,0.1482,Moderate
,1202,10451928,True external,-,1.47360112937919,3,0,15.07924107,0,0.747796737,2.5761,-,0.0995,Good
,1203,10452028,True external,-,1.61355201202681,4,0,5.243428095,7.191330476,1.744859054,2.0973,-,0.0326,Good
,1204,10452241,True external,-,1.57713032623163,0,4.27878248012905,0,9.672420734,1.744859054,2.4486,-,0.6907,Good
,1205,10452664,True external,-,1.72521277642847,6,0,0,0,1.638093653,1.8492,-,0.122,Good
,1206,10453327,True external,-,1.54904837348167,0,0,10.48685619,0,1.302216104,2.6236,-,0.0542,Good
,1207,10454935,True external,-,1.46428114330689,6,0,9.835812978,0,1.622421019,2.6206,-,0.051,Good
