"Table S1.Detailed statistic information of the training, test and true external sets in the Mouse-QSTR models  ",,,,,,,,,,,,,,
Mouse-QSTR Model,Compound Information,,,,Mouse-QSTR Model-Descriptor Value,,,,,,Predicted Activity by  Mouse-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATS3p,F10[C-O],minHBint3,P_VSA_charge_10,P_VSA_charge_14,SM1_Dzm,Predicted endpoint,Residual,HAT i/i (h*=0.4375),
,33,86117,True external,-,1.15167570372542,8,0,0,14.38266095,0.997062316,1.5614,-,0.0888,Good
,34,86118,True external,-,1.13699207012834,9,0,0,14.38266095,0.997062316,1.5421,-,0.0991,Good
,35,88370,True external,-,1.59561750499664,0,0,0,14.38266095,0.997062316,1.3763,-,0.1315,Good
,36,92344,True external,-,1.12060608396159,8,0,0,14.38266095,0.997062316,1.5937,-,0.0922,Good
,37,95071,True external,-,1.44450777192708,4,3.49435852590462,19.67162596,0,2.120952177,3.8876,-,0.3918,Moderate
,38,95221,True external,-,1.3179011728603,1,0,9.184769766,14.38266095,1.246327895,2.2208,-,0.0885,Good
,39,100045,True external,-,1.48052818829125,3,0,34.02906018,0,0.997062316,3.6633,-,0.3885,Good
,40,101371,True external,-,1.48690637292354,0,0,5.133477332,0,0.747796737,2.1526,-,0.0675,Good
,41,101409,True external,-,1.61702405822857,0,3.06818419675889,0,0,1.495593475,2.4857,-,0.4023,Good
,42,102047,True external,-,1.22118116667762,5,0,4.592384883,14.38266095,0.997062316,1.8297,-,0.0579,Good
,43,102570,True external,-,1.14195897906929,2,0,0,14.38266095,0.997062316,1.7786,-,0.0811,Good
,44,103667,True external,-,1.57372976429614,2,0,0,14.38266095,1.388828074,1.5131,-,0.0834,Good
,45,103767,True external,-,1.12599289761633,5,0,0,14.38266095,0.997062316,1.6917,-,0.0783,Good
,46,103924,True external,-,1.6939525588356,0,0,10.48685619,7.191330476,1.388828074,2.2559,-,0.0991,Good
,47,104048,True external,-,1.33200088522483,8,0,10.48685619,14.38266095,1.495593475,2.1482,-,0.0577,Good
,48,104136,True external,-,1.633854818197,14,0,27.34486228,28.7653219,1.994124633,2.2154,-,0.6057,Good
,49,104162,True external,-,1.59147939968294,4,3.00251497357924,10.48685619,0,1.907421376,3.0996,-,0.2736,Good
,50,104429,True external,-,1.63285746077899,10,0,24.15928733,28.7653219,1.994124633,2.1901,-,0.5375,Good
,51,104473,True external,-,1.09781992862943,6,0,0,14.38266095,0.997062316,1.6864,-,0.0854,Good
,52,105735,True external,-,1.33800571480477,0,0,0,0,1.246327895,2.2756,-,0.0956,Good
,53,105788,True external,-,1.4940867343398,12,0,9.184769766,15.29253543,1.495593475,1.7419,-,0.1234,Good
,54,105801,True external,-,1.41835147248662,12,0,0,44.28435398,4.20085847,1.5734,-,0.6126,Good
,55,105907,True external,-,1.65145155975216,0,0,0,7.191330476,0.997062316,1.5758,-,0.0975,Good
,56,106363,True external,-,1.69364647369784,8,0,13.58832411,15.49968462,3.031311236,2.6106,-,0.1003,Good
,57,107454,True external,-,1.63490626487973,2,0,12.81477635,0,0.783531515,2.3429,-,0.1262,Good
,58,107991,True external,-,1.51676488906288,7,0,17.01453009,7.191330476,2.243390212,2.9348,-,0.0628,Good
,59,108219,True external,-,1.50199174129614,17,0,15.07924107,3.143299138,2.001048249,2.5367,-,0.1713,Good
,60,108406,True external,-,1.59963616222917,0,0,10.48685619,0,1.159715925,2.5043,-,0.0664,Good
,61,109030,True external,-,1.60834199174747,2,0,10.48685619,0,1.348213277,2.5144,-,0.0528,Good
,62,109126,True external,-,1.10823023769935,5,0,0,14.38266095,0.997062316,1.7101,-,0.0815,Good
,63,109238,True external,-,1.21846866130479,4,0.679967267981324,19.67162596,0,1.852063387,3.645,-,0.1661,Good
,64,109377,True external,-,1.17600441052866,32,0,13.77715465,35.95665238,2.492655791,1.3451,-,0.655,Good
,65,109430,True external,-,1.19712178565236,17,0,0,21.57399143,1.495593475,1.179,-,0.2266,Good
,66,109431,True external,-,1.18565390751732,20,0,0,21.57399143,1.495593475,1.0873,-,0.303,Good
,67,110044,True external,-,1.79692049653926,11,0,0,0,2.995576459,2.2368,-,0.2192,Good
,68,110393,True external,-,1.12921035581985,9,0,0,14.38266095,0.997062316,1.5502,-,0.0998,Good
,69,111272,True external,-,1.30686528650994,16,0,18.36953953,28.7653219,2.991186949,2.4892,-,0.287,Good
,70,112193,True external,-,1.40048725195887,6,0,19.67162596,14.38266095,1.495593475,2.6201,-,0.1524,Good
,71,112770,True external,-,1.07898548787792,7,0,0,14.38266095,0.997062316,1.6714,-,0.0929,Good
,72,113063,True external,-,1.61183328571354,4,0,9.835812978,0,1.622421019,2.5363,-,0.0435,Good
,73,113161,True external,-,1.62778683580732,6,0,20.97371238,0,1.780593832,3.0994,-,0.104,Good
,74,113216,True external,-,1.53001033674793,2,0,0,7.191330476,0.997062316,1.6329,-,0.0687,Good
,75,113403,True external,-,1.74140362489313,0,0,0,0,1.764921197,2.0989,-,0.0701,Good
,76,113488,True external,-,1.07898548787792,8,0,0,14.38266095,0.997062316,1.6369,-,0.0987,Good
,77,113489,True external,-,1.07607687804034,8,0,0,14.38266095,0.997062316,1.6399,-,0.0992,Good
,78,113492,True external,-,1.09781992862943,7,0,0,14.38266095,0.997062316,1.6519,-,0.0894,Good
,79,114500,True external,-,1.31430511425034,6,0,28.85639572,14.38266095,1.780593832,3.3169,-,0.3038,Good
,80,114581,True external,-,1.06545524095827,8,0,0,14.38266095,0.997062316,1.651,-,0.1013,Good
,81,115482,True external,-,1.29913852070556,8,0,10.48685619,0,1.907421376,2.89,-,0.1101,Good
,82,116934,True external,-,1.07243295422321,26,0,13.77715465,21.57399143,2.991186949,2.4081,-,0.4086,Good
,83,117006,True external,-,1.32989275276335,2,0,0,7.191330476,0.997062316,1.8409,-,0.0526,Good
,84,117291,True external,-,1.54866015529787,4,0,0,14.38266095,4.395790791,2.8762,-,0.4296,Good
,85,117425,True external,-,1.23425092923246,0,0,0,14.38266095,0.997062316,1.7518,-,0.0801,Good
,86,118190,True external,-,1.37787651893423,4,0,0,14.38266095,3.641801386,2.7011,-,0.3382,Good
,87,118320,True external,-,1.36348408878579,22,0,0,14.38266095,0.997062316,0.8579,-,0.471,Moderate
,88,119530,True external,-,1.43432718532299,4,0,15.07924107,0,0.890296916,2.649,-,0.0812,Good
,89,120307,True external,-,1.63033661816758,0,0,0,0,0.747796737,1.7387,-,0.1113,Good
,90,121550,True external,-,1.44041372653795,9,0,15.73028428,0,1.139562495,2.6202,-,0.0952,Good
,91,121657,True external,-,1.59043346006064,4,0,20.97371238,0,1.907421376,3.2666,-,0.1024,Good
,92,121712,True external,-,1.29245699701663,0,0,0,14.38266095,0.997062316,1.6913,-,0.0764,Good
,93,122297,True external,-,1.70135538520131,12,0,20.97371238,21.57399143,2.406043821,2.3356,-,0.2865,Good
,94,122659,True external,-,1.57532070297315,10,0,11.614578,0,1.994124633,2.6327,-,0.0803,Good
,95,122805,True external,-,1.77398085669146,4,0,28.13458888,7.191330476,1.495593475,2.9952,-,0.3646,Good
,96,124183,True external,-,1.39210550963904,6,0,30.15848214,0,1.282062673,3.5852,-,0.2395,Good
,97,124813,True external,-,1.17671463056384,4,0,0,14.38266095,0.997062316,1.6735,-,0.0705,Good
,98,124986,True external,-,1.54389863219483,3,0,17.01453009,0,1.994124633,3.1857,-,0.0749,Good
,99,125286,True external,-,1.5741671930928,0,2.31623342916992,0,0,1.551481683,2.4623,-,0.2729,Good
,100,125287,True external,-,1.5741671930928,1,0.245293492422246,0,0,1.551481683,2.169,-,0.0723,Good
,101,126021,True external,-,1.8243980201851,0,0,10.48685619,0,0.890296916,2.1448,-,0.1809,Good
,102,127484,True external,-,1.73823353835691,10,0,10.48685619,8.101204949,1.744859054,1.9985,-,0.1226,Good
,103,127485,True external,-,1.73823353835691,0,0,10.48685619,8.101204949,1.744859054,2.3438,-,0.0906,Good
,104,137838,True external,-,1.18497143598418,8,0,0,28.7653219,1.994124633,1.4779,-,0.1909,Good
,105,138795,True external,-,1.2931003710578,0,0,0,28.7653219,1.994124633,1.6418,-,0.2553,Good
,106,152042,True external,-,1.08234887991627,10,0,0,14.38266095,0.997062316,1.5644,-,0.1162,Good
,107,161672,True external,-,1.47671227870837,24,0.126773479934792,20.32266917,0,3.565668459,3.4518,-,0.4435,Good
,108,167737,True external,-,1.10155531460264,0,0,0,14.38266095,0.997062316,1.8897,-,0.1057,Good
,109,169995,True external,-,1.24543347017445,5,3.30747449611357,13.77715465,21.57399143,1.744859054,2.784,-,0.4071,Good
,110,170231,True external,-,2.4672014675862,0,0,0,0,5.021149493,2.8672,-,0.3383,Good
,111,171779,True external,-,1.68847212798389,14,0,0,0,2.995576459,2.2459,-,0.2971,Good
,112,172810,True external,-,1.13449450263989,2,0,0,14.38266095,0.997062316,1.7864,-,0.0826,Good
,113,179810,True external,-,1.16250763160622,0,0,0,14.38266095,0.997062316,1.8263,-,0.091,Good
,114,180551,True external,-,1.29061587081306,0,0,0,21.57399143,1.495593475,1.6688,-,0.1378,Good
,115,181582,True external,-,1.46431131050941,0,0,0,14.38266095,1.846744435,1.91,-,0.0721,Good
,116,182851,True external,-,1.50625604638396,0,0,0,14.38266095,1.846744435,1.8664,-,0.0701,Good
,117,186934,True external,-,1.31429749247366,2,0,0,21.57399143,1.495593475,1.5751,-,0.1168,Good
,118,186935,True external,-,1.26031386607237,4,0,0,21.57399143,1.495593475,1.5622,-,0.1069,Good
,119,186936,True external,-,1.22040571597356,5,0,0,14.38266095,1.246327895,1.7101,-,0.0666,Good
,120,187140,True external,-,1.22169753129594,3,0,0,14.38266095,1.246327895,1.7778,-,0.0679,Good
,121,190983,True external,-,1.88148690621276,0,0,0,30.58507085,2.492655791,1.1983,-,0.4013,Good
,122,191964,True external,-,1.14639822690118,8,0,0,14.38266095,0.997062316,1.5669,-,0.0893,Good
,123,220134,True external,-,1.17480485851132,0,0,0,14.38266095,0.997062316,1.8136,-,0.0886,Good
,124,220773,True external,-,1.46473484100364,4,0,9.184769766,14.38266095,0.997062316,1.8481,-,0.111,Good
,125,220895,True external,-,1.20199576904978,12,0,0,28.7653219,1.994124633,1.3221,-,0.1979,Good
,126,226521,True external,-,1.13255501606848,7,0,0,14.38266095,0.997062316,1.6158,-,0.0841,Good
,127,227217,True external,-,1.10444217479535,6,0,0,14.38266095,1.495593475,1.9126,-,0.1054,Good
,128,230027,True external,-,1.34593900863047,1,0,9.184769766,14.38266095,1.246327895,2.1917,-,0.0888,Good
,129,231208,True external,-,1.21989777700789,6,0,0,14.38266095,1.495593475,1.7927,-,0.074,Good
,130,232053,True external,-,1.43090113115705,4,0,0,14.38266095,0.997062316,1.4093,-,0.0847,Good
,131,235391,True external,-,1.54046048016122,6,0,19.67162596,9.24918362,2.120952177,2.9509,-,0.0994,Good
,132,236032,True external,-,1.76842811214693,0,0,23.54220399,0,2.120952177,3.4521,-,0.1875,Good
,133,236045,True external,-,1.64700428457788,4,0,10.48685619,14.38266095,2.120952177,2.2514,-,0.0806,Good
,134,236781,True external,-,1.55171591304244,8,3.77974117919857,10.48685619,1.819748946,2.619483335,3.3677,-,0.5185,Good
,135,237347,True external,-,1.69905172941966,0,0,0,0,2.904483692,2.6757,-,0.1504,Good
,136,237992,True external,-,1.29190867604978,0,0,0,14.38266095,1.139562495,1.7585,-,0.0748,Good
,137,238615,True external,-,1.72873401849056,0,0,10.48685619,0,1.622421019,2.5865,-,0.0628,Good
,138,239659,True external,-,1.23045874635657,6,0,0,14.38266095,2.247779721,2.1334,-,0.1328,Good
,139,241306,True external,-,1.23937992278999,0,0,0,14.38266095,1.658247084,2.0556,-,0.106,Good
,140,241309,True external,-,1.34452847666514,0,0,0,14.38266095,1.658247084,1.9464,-,0.0799,Good
,141,241314,True external,-,1.5329991596928,0,0,9.184769766,14.38266095,2.980616618,2.8428,-,0.17,Good
,142,242859,True external,-,1.55887178871641,6,0.905989556624767,0,0,2.690952891,2.6276,-,0.2301,Good
,143,244499,True external,-,1.44748611995331,0,0,9.184769766,14.38266095,2.696426553,2.7988,-,0.1602,Good
,144,245354,True external,-,1.58202144355453,16,0,0,14.38266095,1.495593475,1.0711,-,0.2797,Good
,145,245799,True external,-,1.84464359060433,0,0,0,14.38266095,3.641801386,2.3542,-,0.1746,Good
,146,245866,True external,-,1.52679387723794,12,3.66516891115892,10.48685619,1.819748946,3.40301485,3.6076,-,0.6834,Good
,147,249496,True external,-,1.18885819119596,0,0,0,14.38266095,0.997062316,1.799,-,0.0862,Good
,148,249553,True external,-,1.30756192868485,0,0,0,14.38266095,0.997062316,1.6756,-,0.0762,Good
,149,249554,True external,-,1.38936393477672,0,0,4.592384883,14.38266095,1.246327895,1.9441,-,0.0763,Good
,150,249793,True external,-,1.30466243202734,1,0,0,14.38266095,1.246327895,1.7606,-,0.0671,Good
,151,249798,True external,-,1.22374384569785,1,0,0,14.38266095,1.246327895,1.8447,-,0.0776,Good
,152,249800,True external,-,1.1342519487619,2,0,0,14.38266095,0.997062316,1.7867,-,0.0827,Good
,153,249912,True external,-,1.58719846836506,0,0,5.942322504,14.38266095,1.638093653,1.9914,-,0.0906,Good
,154,249923,True external,-,1.36930849529904,1,0,11.24262291,14.38266095,1.495593475,2.3902,-,0.1006,Good
,155,250462,True external,-,1.14816443952117,20,0,9.184769766,28.7653219,2.243390212,1.6924,-,0.2685,Good
,156,250503,True external,-,1.16759202502685,18,0,28.85639572,14.38266095,3.616545652,3.9135,-,0.4304,Moderate
,157,250557,True external,-,1.17631543517446,20,0,18.36953953,28.7653219,2.74192137,2.3702,-,0.3071,Good
